model,max_context_tokens,version,experiment,global_turn,case_idx,case_followup,turn_type,context_tokens,context_fill,entropy_mean,logprob_mean,entropy_median,entropy_std,hedging_detected,hedge_words,num_hedge_words,refusal_detected,num_generated_tokens,response_preview,correct_answer,correct_answer_idx,model_answer,num_followups,final_context_fill,question_idx
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,17,17,0,answer,9467,0.2889,0.42794451341657064,-0.20476487603889995,0.0465606264770031,0.6349469417167284,True,possibly|could be|likely,3,False,300,Given the patient's history of a near-total thyroidectomy for an enlarged thyroid gland and the deve,Serum parathyroid hormone (PTH) level,D,"Given the patient's history of a near-total thyroidectomy for an enlarged thyroid gland and the development of numbness around her lips and tingling sensations in her hands and feet, the most likely d",1,0.2889,86
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,18,18,0,answer,9979,0.3045,0.3479178040680952,-0.14746348533980927,0.01456522662192583,0.6052801501484765,True,likely,1,False,300,"Given the patient's history of hypertension, hyperlipidemia, and cardiovascular disease, along with ",He had an allergic reaction to the Tdap vaccination.,C,"Given the patient's history of hypertension, hyperlipidemia, and cardiovascular disease, along with his difficulty falling asleep and the physical examination finding of a laterally displaced point of",1,0.3045,8756
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,19,19,0,answer,10541,0.3217,0.29261233656069874,-0.1329141147118933,0.004642875865101814,0.5713736849224328,True,likely|consider,2,False,300,"Given the patient's presentation of severe diffuse abdominal pain, nausea, vomiting, and a pulse def",Lack of enhancement of the branches of the superior mesenteric artery,C,"Given the patient's presentation of severe diffuse abdominal pain, nausea, vomiting, and a pulse deficit with a new pansystolic murmur, the most likely diagnoses to consider are acute myocardial infar",1,0.3217,3758
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,20,20,0,answer,11136,0.3398,0.3288841182899989,-0.13935316285202437,0.010797257535159588,0.6133707098430444,True,likely|consider,2,False,300,"Given the patient's history of worsening abdominal pain, difficulty defecating, blood in the stool, ",Colon cancer,D,"Given the patient's history of worsening abdominal pain, difficulty defecating, blood in the stool, and a palpable liver edge, along with the yellow hue to the skin, the most likely diagnoses to consi",1,0.3398,5645
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,21,21,0,answer,11648,0.3555,0.27988759365763677,-0.11293827009884361,0.0034157156478613615,0.6163779881909969,True,likely|consider,2,False,300,"Given the patient's history of intravenous drug use, methamphetamine-associated chronic thromboembol",Fresh frozen plasma,B,"Given the patient's history of intravenous drug use, methamphetamine-associated chronic thromboembolic pulmonary hypertension (CTEPH), and the current presentation of worsening abdominal pain, fevers,",1,0.3555,7842
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,22,22,0,answer,12133,0.3703,0.22803195958453715,-0.09643630037465818,0.003390516620129347,0.5091860157006057,True,could be|likely,2,False,300,"Given the patient's presentation of sudden slurred speech and weakness in the left arm and leg, alon",Systolic blood pressure of 200 mm Hg,C,"Given the patient's presentation of sudden slurred speech and weakness in the left arm and leg, along with a history of hypertension and a non-contrast CT of the head showing no evidence of intracrani",1,0.3703,4806
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,23,23,0,answer,12618,0.3851,0.26267693269282844,-0.11078433924800209,0.003588163759559393,0.5568588074518425,True,likely|consider,2,False,300,"Given the patient's history of acute biliary pancreatitis, recent cholecystectomy, and current sympt",Pancreatic abscess,A,"Given the patient's history of acute biliary pancreatitis, recent cholecystectomy, and current symptoms of epigastric pain, fever, nausea, and malaise, the most likely diagnoses to consider are recurr",1,0.3851,7196
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,24,24,0,answer,13145,0.4012,0.21719071292330086,-0.08967058468295881,0.0037294862559065223,0.4580982993277499,True,likely|suggests,2,False,300,"Given the patient's presentation of severe epigastric pain, radiating to the back, vomiting, and a h","Crystalloid fluid infusion
""",D,"Given the patient's presentation of severe epigastric pain, radiating to the back, vomiting, and a history of H. pylori infection and alcohol use, the most likely diagnosis is acute pancreatitis. The ",1,0.4012,6826
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,25,25,0,answer,13660,0.4169,0.22062359082508004,-0.0930394654115663,0.0014838219503872097,0.507232386187382,True,likely|consider,2,False,300,"Given the patient's history of alcohol abuse, repeat episodes of pancreatitis, constipation, and anx",Hearing loss,A,"Given the patient's history of alcohol abuse, repeat episodes of pancreatitis, constipation, and anxiety, along with the generalized muscle and bone pain that has not responded to over-the-counter ana",1,0.4169,347
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,26,26,0,answer,14147,0.4317,0.28697811138330453,-0.13011705426324188,0.010981069877743721,0.5762151468579981,True,could be|likely,2,False,300,"Given the patient's symptoms of episodic finger spasms, concerns about academic performance, and phy",Autosomal dominant,B,"Given the patient's symptoms of episodic finger spasms, concerns about academic performance, and physical characteristics such as short 4th and 5th fingers, a round face, and discolored teeth, the mos",1,0.4317,4676
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,27,27,0,answer,14611,0.4459,0.45306686027300125,-0.19975297821923796,0.08816717565059662,0.6397783652912589,True,likely,1,False,300,"Given the patient's history of bloody diarrhea after consuming food at a neighborhood barbeque, the ",Hemolytic uremic syndrome,B,"Given the patient's history of bloody diarrhea after consuming food at a neighborhood barbeque, the clinical presentation, and the fact that several others had similar complaints, the most likely diag",1,0.4459,6813
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,28,28,0,answer,15050,0.4593,0.24064127889978068,-0.10746416203097847,0.004483809228986502,0.49488078171921873,True,likely|consider,2,False,300,"Given the patient's history of type 2 diabetes and hypertension, along with the new-onset symptoms o",Hypertriglyceridemia,C,"Given the patient's history of type 2 diabetes and hypertension, along with the new-onset symptoms of itchy skin, moderate nausea, vomiting, muscle weakness, and fatigue, the most likely diagnoses to ",1,0.4593,3901
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,29,29,0,answer,15607,0.4763,0.3157411301531629,-0.14010812612859827,0.0059209715109318495,0.6387929173307382,True,likely,1,False,300,"Given the patient's history of worsening forgetfulness and confusion over the past year, along with ",Alzheimer’s dementia,A,"Given the patient's history of worsening forgetfulness and confusion over the past year, along with the MMSE score of 20/30, the most likely diagnosis is mild cognitive impairment (MCI) or early-stage",1,0.4763,3195
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,30,30,0,answer,16198,0.4943,0.2748675578848251,-0.12215676049700754,0.006987527944147587,0.5524864448216136,True,likely|suggests|consider,3,False,300,"Given the patient's history of cirrhosis, chronic alcohol use, and the current presentation of abdom",Hepatorenal syndrome,C,"Given the patient's history of cirrhosis, chronic alcohol use, and the current presentation of abdominal distention, jaundice, dark urine, malaise, shortness of breath, and significant edema, the most",1,0.4943,4362
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,31,31,0,answer,16685,0.5092,0.18906656115998136,-0.0781771999422525,0.003363286145031452,0.4639243490953839,True,could be|likely|consider,3,False,300,"Given the patient's history of poorly managed diabetes mellitus, hypertension, end-stage renal disea",Hypertension,A,"Given the patient's history of poorly managed diabetes mellitus, hypertension, end-stage renal disease, and obesity, along with the recent onset of worsening shortness of breath, the most likely diagn",1,0.5092,6474
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,32,32,0,answer,17250,0.5264,0.2736194357563564,-0.11867230390640555,0.004060287261381745,0.5588544757955364,True,could be|likely,2,False,300,"Given the patient's symptoms of fatigue, abdominal pain, diarrhea, weight loss, and the history of a",Bowel wall biopsy,D,"Given the patient's symptoms of fatigue, abdominal pain, diarrhea, weight loss, and the history of a camping trip in the eastern United States where he consumed raw meat and drank untreated water, the",1,0.5264,3754
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,33,33,0,answer,17755,0.5418,0.19127820288192268,-0.08515618533388862,0.0030878998804837465,0.4423563666729857,True,possibly|likely|suggests|may be,4,False,300,"Given the patient's symptoms of severe abdominal pain, fever, fatigue, crampy lower abdominal pain, ",Transmural granulomas in the bowel,D,"Given the patient's symptoms of severe abdominal pain, fever, fatigue, crampy lower abdominal pain, and diarrhea, along with the history of consuming undercooked meats during a camping trip in the Roc",1,0.5418,7230
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,34,34,0,answer,18334,0.5595,0.39654898879353634,-0.16821817840093745,0.010444529354572296,0.6814906818611408,True,possibly|likely,2,False,300,"Given the patient's history of asthma, the sudden onset of shortness of breath, and the need for int",Intermittent catheterization,D,"Given the patient's history of asthma, the sudden onset of shortness of breath, and the need for intubation despite treatment with albuterol and fluticasone, the most likely diagnosis is a severe exac",1,0.5595,9693
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,35,35,0,answer,18816,0.5742,0.23394491399639758,-0.10126433434984174,0.004228129284456372,0.4994373981535529,True,likely|consider,2,False,300,"Given the patient's recent onset of headaches, weight loss, restlessness, sweating, and a rapid puls",Discontinue current medications,D,"Given the patient's recent onset of headaches, weight loss, restlessness, sweating, and a rapid pulse, the most likely diagnoses to consider are hyperthyroidism, a thyroid storm, or a viral illness wi",1,0.5742,1755
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,36,36,0,answer,19429,0.5929,0.42830852544258163,-0.17290897427445068,0.008729069493710995,0.7704285781667997,True,likely|suggests|consider,3,False,300,"Given the patient's history of a suicide attempt with self-inflicted wrist cuts, the current present",Major blood group incompatibility,C,"Given the patient's history of a suicide attempt with self-inflicted wrist cuts, the current presentation of hypotension, tachycardia, confusion, and now fever and flank pain, the most likely diagnose",1,0.5929,9229
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,37,37,0,answer,19993,0.6101,0.23696535831561497,-0.09848474435167286,0.004038000013679266,0.5101459022547661,True,possibly|likely,2,False,300,"Given the patient's history of recurrent abdominal pain, nausea, vomiting, and the current episode o",Abdominal paracentesis,B,"Given the patient's history of recurrent abdominal pain, nausea, vomiting, and the current episode of severe right upper quadrant pain with diaphoresis, multiple telangiectasias, and signs of peritone",1,0.6101,9434
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,38,38,0,answer,20530,0.6265,0.30690698793822974,-0.12995523114614962,0.007151303114369512,0.6033085144337201,True,likely|suggests|consider,3,False,300,"Given the patient's recent onset of abnormal behavior, involuntary movements, memory loss, and disor",Creutzfeldt-Jakob disease,B,"Given the patient's recent onset of abnormal behavior, involuntary movements, memory loss, and disorientation, along with her history of type 2 diabetes mellitus, the most likely diagnoses to consider",1,0.6265,9491
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,39,39,0,answer,21042,0.6422,0.30168755424650895,-0.13854457168773854,0.005896878195926547,0.5401234822528488,True,could be|likely,2,False,300,"Given the patient's history of increasing confusion, yellowish discoloration of the eyes and skin (j",N-acetylcysteine therapy,C,"Given the patient's history of increasing confusion, yellowish discoloration of the eyes and skin (jaundice), and the presence of a flapping tremor (asterixis), the most likely diagnosis is hepatic en",1,0.6422,9453
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,40,40,0,answer,21594,0.659,0.1267696714193176,-0.04886930413278632,0.002321788459084928,0.3137757541032788,True,likely,1,False,300,"Given the patient's presentation of severe right upper abdominal pain, fever, and non-bloody vomitin",History of multiple past pregnancies,B,"Given the patient's presentation of severe right upper abdominal pain, fever, and non-bloody vomiting, along with the history of recurring abdominal discomfort after meals and the physical exam findin",1,0.659,1936
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,41,41,0,answer,22117,0.675,0.24277226733804852,-0.10591741983628583,0.003457677783444524,0.4994613222476154,True,likely|consider,2,False,300,"Given the patient's history of alcohol use, IV drug use, and hepatitis C, along with the current pre",Liver failure,C,"Given the patient's history of alcohol use, IV drug use, and hepatitis C, along with the current presentation of obtundation, alcohol smell, abdominal distension, and poor hygiene, the most likely dia",1,0.675,2739
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,42,42,0,answer,22609,0.69,0.2941512512951243,-0.13160384582336096,0.003689425648190081,0.632971227143683,True,could be|likely,2,False,300,"Given the patient's history of asthma, a 25-pack-year smoking history, and the sudden onset of short",Intubation,D,"Given the patient's history of asthma, a 25-pack-year smoking history, and the sudden onset of shortness of breath that did not improve with albuterol, the most likely diagnosis is a severe asthma exa",1,0.69,7036
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,43,43,0,answer,23152,0.7065,0.0514808610973824,-0.014488342157937477,0.0017222361057065427,0.14657796690027663,True,likely,1,False,300,"Given the patient's presentation of severe right upper abdominal pain, fever, and non-bloody vomitin",History of multiple past pregnancies,A,"Given the patient's presentation of severe right upper abdominal pain, fever, and non-bloody vomiting, along with the history of recurring abdominal discomfort after meals and the physical exam findin",1,0.7065,6872
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,44,44,0,answer,23722,0.7239,0.24651687952924212,-0.11416031484953158,0.006001219851896167,0.5036831374980874,True,could be|likely|consider,3,False,300,"Given the patient's history of weakness, thinning hair, and the physical exam findings of 3/5 streng",TSH level,C,"Given the patient's history of weakness, thinning hair, and the physical exam findings of 3/5 strength in her extremities with sluggish reflexes and tenderness upon palpation, the most likely diagnose",1,0.7239,6507
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,45,45,0,answer,24240,0.7397,0.26273589387389323,-0.12261931542795987,0.004393320996314287,0.5257623993604844,True,likely|suggests|consider,3,False,300,"Given the patient's history of generalized fatigue, mild fever, abdominal pain, nausea, and darkenin",Active chronic hepatitis B infection,C,"Given the patient's history of generalized fatigue, mild fever, abdominal pain, nausea, and darkening of urine, along with the physical exam findings of scleral icterus and a tender liver, the most li",1,0.7397,595
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,46,46,0,answer,24734,0.7548,0.29915272959961375,-0.12620035984083805,0.005208233371376991,0.577839758941933,True,possibly|likely|consider,3,False,300,"Given the patient's history of progressive fatigue, weight loss, and the physical exam findings of c",Cladribine,B,"Given the patient's history of progressive fatigue, weight loss, and the physical exam findings of conjunctival pallor and ecchymoses, along with his past medical history of hypercholesterolemia, type",1,0.7548,8386
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,47,47,0,answer,25279,0.7715,0.3447975565163091,-0.15065856450986476,0.00537661393173039,0.6357708893728842,True,could be|likely|consider,3,False,300,"Given the patient's history of increased fatigue, recent loss of consciousness, abdominal distension",Chronic myeloid leukemia,C,"Given the patient's history of increased fatigue, recent loss of consciousness, abdominal distension/discomfort, weight loss, persistent cough, and episodes of night sweats, along with his travel hist",1,0.7715,6180
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,48,48,0,answer,25816,0.7878,0.21782402734303133,-0.09369886570267191,0.0033888312755152583,0.512701145169553,True,likely|consider,2,False,300,"Given the patient's history of hypertension, emphysema, recent weight loss, poor appetite, and curre",3% saline at 35 mL/h,C,"Given the patient's history of hypertension, emphysema, recent weight loss, poor appetite, and current presentation of lethargy and confusion, the most likely diagnoses to consider are chronic obstruc",1,0.7878,566
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,49,49,0,answer,26364,0.8046,0.20976689688652497,-0.0804325311606779,0.0036570841912180185,0.4986981686618263,True,likely|consider,2,False,300,"Given the patient's history of alcohol abuse, IV drug use, schizophrenia, hepatitis C, and anxiety, ",Fresh frozen plasma,C,"Given the patient's history of alcohol abuse, IV drug use, schizophrenia, hepatitis C, and anxiety, along with the current presentation of obtundation, bruising, bleeding at IV sites, and abdominal di",1,0.8046,10015
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,50,50,0,initial,26677,0.8141,0.42512653446803245,-0.17897047659173093,0.20072907209396362,0.5165036184178682,True,it seems,1,False,51,It seems like the patient information is incomplete. Could you please provide more details about the,Start metformin.,B,"Given the patient's history of type 2 diabetes mellitus, recent weight loss, and the current laboratory results, the most likely diagnosis is type 2 diabetes mellitus with suboptimal glycemic control.",2,0.8269,1262
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,51,50,1,answer,27097,0.8269,0.54758758021252,-0.24940268109817154,0.12990589439868927,0.7089545474958566,True,likely,1,False,300,"Given the patient's history of type 2 diabetes mellitus, recent weight loss, and the current laborat",Start metformin.,B,"Given the patient's history of type 2 diabetes mellitus, recent weight loss, and the current laboratory results, the most likely diagnosis is type 2 diabetes mellitus with suboptimal glycemic control.",2,0.8269,1262
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,52,51,0,answer,27618,0.8428,0.2848761440044727,-0.11995658964628582,0.005074795801192522,0.6004682177132831,True,likely|consider,2,False,300,"Given the patient's history of drug abuse, alcoholism, anxiety, mania, and a recent suicide attempt,",Lamotrigine,B,"Given the patient's history of drug abuse, alcoholism, anxiety, mania, and a recent suicide attempt, the most likely diagnosis is a suicide attempt with self-inflicted wrist cuts. The patient's curren",1,0.8428,1614
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,53,52,0,answer,28079,0.8569,0.3910728004789989,-0.17837130811771648,0.016231896355748177,0.6608920355114373,True,likely|consider,2,False,300,Given the patient's history of hypertension that has progressed from 146/96 mm Hg at 24 weeks to 148,Magnesium sulfate,C,"Given the patient's history of hypertension that has progressed from 146/96 mm Hg at 24 weeks to 148/110 mm Hg at 28 weeks, along with occasional headaches and mild abdominal pain, the most likely dia",1,0.8569,7203
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,54,53,0,answer,28562,0.8716,0.24986356258694437,-0.11343736447290255,0.00459498236887157,0.5916706854037908,True,likely|consider,2,False,300,"Given the patient's history of increasing generalized fatigue, severe pruritus, and the presence of ",Primary sclerosing cholangitis,B,"Given the patient's history of increasing generalized fatigue, severe pruritus, and the presence of scleral icterus and scratch marks, the most likely diagnoses to consider are a liver disease, partic",1,0.8716,313
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,55,54,0,answer,29028,0.8859,0.28848968613958076,-0.11435714048101786,0.010324520524591208,0.5604656640132405,True,likely|consider,2,False,300,"Given the patient's history of hypertension, knee osteoarthritis, and the recent laboratory studies ",Monoclonal gammopathy of undetermined significance,A,"Given the patient's history of hypertension, knee osteoarthritis, and the recent laboratory studies for anemia, the most likely diagnoses to consider are anemia of chronic disease, iron deficiency ane",1,0.8859,2834
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,56,55,0,answer,29590,0.903,0.24322911383782117,-0.09782588636607693,0.002917742356657982,0.5833515971004316,True,likely|consider,2,False,300,"Given the patient's history of recurrent syncope, recent weight loss, constipation, early satiety, a",Erectile dysfunction,C,"Given the patient's history of recurrent syncope, recent weight loss, constipation, early satiety, and the ECG findings, the most likely diagnoses to consider are autonomic dysfunction, particularly p",1,0.903,6043
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,57,56,0,answer,30070,0.9177,0.1977349446401562,-0.07396288907898706,0.0029553178464993834,0.45492417234820065,True,likely|consider,2,False,300,"Given the patient's history of multiple hospital admissions for acute pancreatitis, dehydration, and",Liver transplant,D,"Given the patient's history of multiple hospital admissions for acute pancreatitis, dehydration, and suicide attempts, along with the current presentation of altered mental status and a Glasgow Coma S",1,0.9177,2300
