global_turn,story_idx,turn_type,context_tokens,context_fill,mean_entropy,mean_logprob,hedging_detected,num_hedge_words,correct,tracks_modification,modification_type,is_reask,reask_updated,reask_reverted,response_length,num_sae_active,response
54,2,modification,4059,0.4955,0.2967738913022913,-0.19821448055845395,False,0,,False,relationship_change,False,False,False,6,63,Noted.
55,2,modification_quiz,4080,0.498,0.15567154368981,-0.05416295118378096,False,0,False,True,relationship_change,False,False,False,108,64,Huxley is Spartan's daughter. She was born after he was frozen and grew up hearing stories about her father.
56,2,followup,4132,0.5044,0.6909764907162128,-0.31369151461307604,True,2,False,True,relationship_change,False,False,False,1053,118,"Huxley being Spartan's daughter completely changes the nature of their potential romantic subplot. 

Here's why:

* **Taboo:** A romantic relationship between a father and his adult daughter is considered highly taboo and unethical in most societies. This would create a major conflict and moral dile"
57,2,reask_post_modification,4358,0.532,0.22822856758582727,-0.08662566123044889,False,0,False,True,cause_change,True,False,False,69,71,The summary doesn't say who helped Phoenix free his fellow criminals.
58,2,modification,4421,0.5397,0.29516698569059374,-0.1248300004459452,False,0,,False,cause_change,False,False,False,6,67,Noted.
59,2,modification_quiz,4442,0.5422,0.14715894548882602,-0.05380501460531377,False,0,False,True,cause_change,False,False,False,95,64,"Phoenix escaped because an earthquake damaged the prison's systems, accidentally releasing him."
60,2,followup,4494,0.5486,0.6357532409180527,-0.28530228669573815,True,1,False,True,cause_change,False,False,False,939,95,"If Phoenix's escape was accidental due to the earthquake, it significantly changes Cocteau's role in the story:

* **Reduced Agency:** Cocteau's role as a mastermind behind Phoenix's escape is diminished. He is no longer a key player in the events leading up to Phoenix's freedom.
* **Shift in Motiva"
61,2,reask_post_modification,4713,0.5753,0.1913899593260687,-0.06435091795976726,False,0,False,True,detail_change,True,False,False,58,81,"The ""Great Earthquake"" led to the creation of San Angeles."
62,2,reask_post_modification,4747,0.5795,0.1831024907573564,-0.07118274342113702,False,0,False,True,relationship_change,True,False,False,73,59,The summary doesn't say why Lenina Huxley was assigned to work with John.
63,3,story_presentation,4951,0.6044,0.44523555133491755,-0.23533072939608246,False,0,,False,,False,False,False,6,105,Noted.
64,3,factual_question_pre,4969,0.6066,0.36081371031953796,-0.1646444919976299,False,0,False,False,,False,False,False,58,75,"""The Lizard"" is a pickpocket who befriends Jimmy Torrance."
65,3,factual_question_pre,5002,0.6106,0.254676103440987,-0.09735781376043127,False,0,False,False,,False,False,False,62,73,The summary doesn't say why Harold embezzled from the factory.
66,3,factual_question_pre,5040,0.6152,0.28194599464387393,-0.1433855095735788,False,0,False,False,,False,False,False,67,60,The summary doesn't say what happened to Bince after being exposed.
67,3,factual_question_pre,5072,0.6191,0.36816651869762257,-0.1622262910209079,False,0,True,False,,False,False,False,47,75,Jimmy finally found work in a department store.
68,3,modification,5116,0.6245,0.29731022569467314,-0.15699398840406503,False,0,,False,cause_change,False,False,False,6,66,Noted.
69,3,modification_quiz,5135,0.6268,0.21491801019389337,-0.07953705798609008,False,0,False,True,cause_change,False,False,False,49,73,Bince embezzled to fund his secret second family.
70,3,followup,5164,0.6304,0.8163157454645443,-0.377992359304867,False,0,False,True,cause_change,False,False,False,993,143,"Bince embezzling to fund a secret second family is a significantly different motive than gambling debts. Here's how:

* **Emotional Complexity:**  Bince's motive reveals a deeper emotional complexity. It suggests a desire for a different life, a longing for connection, and a willingness to deceive a"
71,3,modification,5393,0.6583,0.31588906298857183,-0.13159322845021962,False,0,,False,outcome_change,False,False,False,6,68,Noted.
72,3,modification_quiz,5414,0.6609,0.21018526417631922,-0.08752081033314123,False,0,False,True,outcome_change,False,False,False,44,70,Bince flees the country and is never caught.
73,3,followup,5445,0.6647,0.6183030986684617,-0.2881490921987242,True,2,False,True,outcome_change,False,False,False,944,99,"Bince's escape would likely have a profound impact on Elizabeth, especially considering their budding relationship and her trust in him. Here's how:

* **Betrayal and Disillusionment:**  Elizabeth would feel deeply betrayed by Bince's actions.  His deception and abandonment would shatter her trust i"
74,3,modification,5678,0.6931,0.3497227705549449,-0.15178431291715241,False,0,,False,detail_change,False,False,False,6,67,Noted.
75,3,modification_quiz,5697,0.6954,0.17445543664115787,-0.07092222484456775,False,0,True,True,detail_change,False,False,False,39,73,Jimmy first found work in a print shop.
76,3,followup,5724,0.6987,0.7499412001863309,-0.33864788824236336,True,1,False,True,detail_change,False,False,False,888,89,"Yes, the type of first job matters because it can reveal something about Jimmy's character and his approach to finding work:

* **Print Shop:** A print shop suggests a more hands-on, practical job that requires skill and attention to detail. This could indicate that Jimmy is willing to work hard and"
77,3,reask_post_modification,5921,0.7228,0.15934357085180553,-0.09175583161347524,False,0,False,True,detail_change,True,False,True,47,99,Jimmy finally found work in a department store.
78,3,modification,5961,0.7277,0.2950318167451769,-0.11100306083390024,False,0,,False,relationship_change,False,False,False,6,60,Noted.
79,3,reask_post_modification,5979,0.7299,0.1916574281699468,-0.08659866540605776,False,0,False,True,relationship_change,True,False,False,54,73,"""The Lizard"" is a former detective turned petty thief."
80,3,modification_quiz,6006,0.7332,0.21731136736551498,-0.1041859196563694,False,0,False,True,relationship_change,False,False,False,54,85,"""The Lizard"" is a former detective turned petty thief."
81,3,reask_post_modification,6042,0.7375,0.191040063265973,-0.07654168564454267,False,0,False,True,outcome_change,True,False,False,44,74,Bince fled the country and was never caught.
82,3,followup,6069,0.7408,0.5464271968759518,-0.26511247698951196,True,3,False,True,relationship_change,False,False,False,1037,52,"The Lizard's experience as a former detective could help Torrance in several ways:

* **Street Smarts:**  The Lizard likely possesses a deep understanding of how the city works, its underbelly, and the people who inhabit it. This knowledge could be invaluable to Torrance as he navigates his new envi"
83,3,reask_post_modification,6288,0.7676,0.22037594857309678,-0.07398027918446003,False,0,True,True,cause_change,True,True,False,50,81,Harold embezzled to fund his secret second family.
84,4,story_presentation,6486,0.7917,0.4106216924265027,-0.20601075538434088,False,0,,False,,False,False,False,6,104,Noted.
85,4,factual_question_pre,6514,0.7952,0.22911577078021084,-0.11001160630891718,False,0,False,False,,False,False,False,64,67,The summary doesn't mention William's 10-year-old sister's name.
86,4,factual_question_pre,6553,0.7999,0.25803812389179054,-0.11352036419824035,False,0,False,False,,False,False,False,69,62,The summary doesn't say that William steals anything from his father.
87,4,factual_question_pre,6583,0.8036,0.17578133672040727,-0.08410010900675283,False,0,False,False,,False,False,False,45,99,The summary doesn't say how Lola leaves town.
88,4,factual_question_pre,6616,0.8076,0.20266804978546268,-0.09063035309393666,False,0,True,False,,False,False,False,38,76,Lola's white lap dog's name is Flopit.
89,4,modification,6665,0.8136,0.2822201855597086,-0.10929549380307435,False,0,,False,cause_change,False,False,False,6,66,Noted.
90,4,modification_quiz,6684,0.8159,0.18832955869985016,-0.08234075700016143,False,0,False,True,cause_change,False,False,False,56,76,William borrows a suit from the Parcher family's butler.
91,4,followup,6716,0.8198,0.9278066359198617,-0.4184629271811312,True,1,False,True,cause_change,False,False,False,1030,144,"William borrowing a suit from the Parcher's butler instead of stealing from his father changes the domestic conflict in a few key ways:

* **Less Serious Offense:** Borrowing, while still potentially a transgression, is less serious than stealing. It suggests William is trying to be more discreet an"
92,4,modification,6947,0.848,0.29686507298611103,-0.09011522676737513,False,0,,False,outcome_change,False,False,False,6,75,Noted.
93,4,modification_quiz,6963,0.85,0.19410036037328382,-0.07738946947723946,False,0,False,True,outcome_change,False,False,False,56,96,"No, Lola stays permanently as the Parcher family's ward."
94,4,followup,6996,0.854,0.7225361233900003,-0.3222265153280331,True,1,False,True,outcome_change,False,False,False,965,132,"Lola staying permanently as the Parcher family's ward significantly changes William's arc in several ways:

* **Prolonged Obsession:** William's infatuation with Lola won't be a fleeting summer romance. It becomes a long-term obsession, potentially leading to more complex emotions like jealousy, pos"
95,4,reask_post_modification,7222,0.8816,0.2152526403889533,-0.08556721297119452,False,0,False,True,relationship_change,True,False,False,64,76,The summary doesn't mention William's 10-year-old sister's name.
