x_now,y_later,t_delay,repeat_idx,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,time_delay_format,user_pov,prompt_format
100,101,1825 days,1,I have an offer to take 100$ now or 101$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,3650 days,1,I have an offer to take 100$ now or 101$ in 3650 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,1 day,1,I have an offer to take 100$ now or 110$ in 1 day. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,7 days,1,I have an offer to take 100$ now or 110$ in 7 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,30 days,1,I have an offer to take 100$ now or 110$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,365 days,1,I have an offer to take 100$ now or 110$ in 365 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,730 days,1,I have an offer to take 100$ now or 110$ in 730 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,1095 days,1,I have an offer to take 100$ now or 110$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,1825 days,1,I have an offer to take 100$ now or 110$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,3650 days,1,I have an offer to take 100$ now or 110$ in 3650 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,1 day,1,I have an offer to take 100$ now or 150$ in 1 day. What should I choose? Answer in just a few words.,Take the 150$ in 1 day.,Take the 150$ in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,150,7 days,1,I have an offer to take 100$ now or 150$ in 7 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,30 days,1,I have an offer to take 100$ now or 150$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,365 days,1,I have an offer to take 100$ now or 150$ in 365 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,730 days,1,I have an offer to take 100$ now or 150$ in 730 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,1095 days,1,I have an offer to take 100$ now or 150$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,1825 days,1,I have an offer to take 100$ now or 150$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,3650 days,1,I have an offer to take 100$ now or 150$ in 3650 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,1 day,1,I have an offer to take 100$ now or 200$ in 1 day. What should I choose? Answer in just a few words.,Take $200 in 1 day.,Take $200 in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,200,7 days,1,I have an offer to take 100$ now or 200$ in 7 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,30 days,1,I have an offer to take 100$ now or 200$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,365 days,1,I have an offer to take 100$ now or 200$ in 365 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,730 days,1,I have an offer to take 100$ now or 200$ in 730 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,1095 days,1,I have an offer to take 100$ now or 200$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,1825 days,1,I have an offer to take 100$ now or 200$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,3650 days,1,I have an offer to take 100$ now or 200$ in 3650 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,500,1 day,1,I have an offer to take 100$ now or 500$ in 1 day. What should I choose? Answer in just a few words.,Take the $500 in 1 day.,Take the $500 in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,500,7 days,1,I have an offer to take 100$ now or 500$ in 7 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,500,30 days,1,I have an offer to take 100$ now or 500$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,500,365 days,1,I have an offer to take 100$ now or 500$ in 365 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,500,730 days,1,I have an offer to take 100$ now or 500$ in 730 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,500,1095 days,1,I have an offer to take 100$ now or 500$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,500,1825 days,1,I have an offer to take 100$ now or 500$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,500,3650 days,1,I have an offer to take 100$ now or 500$ in 3650 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,1 day,1,I have an offer to take 100$ now or 1000$ in 1 day. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,7 days,1,I have an offer to take 100$ now or 1000$ in 7 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,30 days,1,I have an offer to take 100$ now or 1000$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,365 days,1,I have an offer to take 100$ now or 1000$ in 365 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,730 days,1,I have an offer to take 100$ now or 1000$ in 730 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,1095 days,1,I have an offer to take 100$ now or 1000$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,1825 days,1,I have an offer to take 100$ now or 1000$ in 1825 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,3650 days,1,I have an offer to take 100$ now or 1000$ in 3650 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,10000,1 day,1,I have an offer to take 100$ now or 10000$ in 1 day. What should I choose? Answer in just a few words.,"Take the $10,000 in 1 day.","Take the $10,000 in 1 day.",False,y_later,day_counts,True,user_pov_time_utility_question
100,10000,7 days,1,I have an offer to take 100$ now or 10000$ in 7 days. What should I choose? Answer in just a few words.,"Take the $10,000 in 7 days.","Take the $10,000 in 7 days.",False,y_later,day_counts,True,user_pov_time_utility_question
100,10000,30 days,1,I have an offer to take 100$ now or 10000$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,10000,365 days,1,I have an offer to take 100$ now or 10000$ in 365 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,10000,730 days,1,I have an offer to take 100$ now or 10000$ in 730 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,10000,1095 days,1,I have an offer to take 100$ now or 10000$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,10000,1825 days,1,I have an offer to take 100$ now or 10000$ in 1825 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,10000,3650 days,1,I have an offer to take 100$ now or 10000$ in 3650 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
