train_regime,feature_name,vector_key,layer,direction,rank,token_id,decoded_stripped,score
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,9,22966,arrays,0.07470703125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,10,68743,reused,0.07275390625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,1,56982,ibu,-0.10791015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,2,63299,abouts,-0.0888671875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,3,50451,imminent,-0.08349609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,4,19319,uras,-0.0810546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,5,40116,bih,-0.0810546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,6,30724,osi,-0.080078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,7,83563,unconditional,-0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,8,98586,yaw,-0.076171875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,9,36964,issen,-0.076171875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,negative,10,71420,pendingintent,-0.07470703125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,1,6357,ito,0.08935546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,2,2542,riter,0.08203125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,3,9376,eg,0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,4,32842,orf,0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,5,78119,colleges,0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,6,27328,metrics,0.07861328125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,7,12660,ova,0.07470703125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,8,11149,reader,0.07373046875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,9,70276,meg,0.07373046875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,positive,10,37222,andez,0.07177734375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,1,56982,ibu,-0.09716796875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,2,48135,perc,-0.087890625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,3,53701,zos,-0.08203125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,4,36779,amentos,-0.08056640625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,5,80587,indr,-0.08056640625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,6,79398,leon,-0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,7,8339,yan,-0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,8,83016,unavoidable,-0.07861328125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,9,9813,variable,-0.078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,32,negative,10,6369,rais,-0.07763671875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,1,78119,colleges,0.08154296875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,2,6968,ding,0.080078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,3,27343,meg,0.07861328125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,4,84354,crime,0.078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,5,68179,mash,0.07763671875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,6,11503,ange,0.07568359375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,7,84467,riere,0.07421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,8,18880,marc,0.07421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,9,79611,concurrency,0.07421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,positive,10,64201,pets,0.07373046875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,1,54341,ibs,-0.08740234375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,2,97420,britann,-0.08642578125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,3,14004,yes,-0.0810546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,4,25277,dere,-0.0810546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,5,61927,plaster,-0.080078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,6,36964,issen,-0.07666015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,7,78017,okin,-0.07568359375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,8,73110,ernst,-0.0732421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,9,34068,lb,-0.0732421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,36,negative,10,16253,oven,-0.072265625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,1,2848,erial,0.09375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,2,63339,replies,0.08349609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,3,34949,slog,0.08056640625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,4,31728,revised,0.07568359375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,5,287,ing,0.07373046875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,6,90003,abram,0.07373046875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,7,39102,bald,0.0732421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,8,96168,maher,0.0732421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,9,23203,wnd,0.07177734375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,positive,10,52323,edly,0.07177734375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,1,97420,britann,-0.083984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,2,88264,kick,-0.08203125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,3,1963,ui,-0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,4,36250,kicks,-0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,5,57697,uil,-0.0771484375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,6,87121,nock,-0.07666015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,7,11590,nic,-0.07666015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,8,54341,ibs,-0.07568359375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,9,10715,lan,-0.07470703125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,40,negative,10,48931,lance,-0.07421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,1,12417,iana,0.10888671875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,2,29446,inal,0.107421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,3,63339,replies,0.09814453125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,4,94517,todevice,0.09423828125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,5,65959,umb,0.0849609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,6,2848,erial,0.0849609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,7,49053,hee,0.08251953125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,8,28450,thor,0.080078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,9,96168,maher,0.0791015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,positive,10,19272,rop,0.07861328125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,1,28100,aky,-0.0869140625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,2,36250,kicks,-0.07421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,3,53701,zos,-0.0732421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,4,38955,aso,-0.0712890625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,5,75338,himal,-0.07080078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,6,7696,hous,-0.06982421875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,7,53929,unken,-0.068359375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,8,39998,rais,-0.068359375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,9,30594,aj,-0.06787109375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,44,negative,10,11042,itz,-0.06787109375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,1,47258,quine,0.09521484375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,2,38081,reuse,0.08837890625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,3,87208,slim,0.08349609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,4,1470,ql,0.08349609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,5,82821,azen,0.0830078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,6,42172,ere,0.08154296875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,7,44126,ofsize,0.0810546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,8,56770,cascade,0.0810546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,9,95226,obsolete,0.0810546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,positive,10,17820,pus,0.0810546875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,1,18093,closest,-0.08154296875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,2,64748,acr,-0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,3,9788,unknown,-0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,4,53701,zos,-0.0771484375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,5,35921,accur,-0.07470703125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,6,3583,dev,-0.07373046875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,7,40576,proc,-0.07275390625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,8,19659,aque,-0.072265625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,9,68607,hovering,-0.07177734375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,48,negative,10,69247,elor,-0.07080078125
