dataset,source_dataset,n_pairs,t_delay,match_type,field,field_label,occurrence_count,total_occurrences,occurrence_prop
explicit_train_only,explicit_expanded_500,400,3 years,unit_word,short_term,short-term option,7,121,0.05785123966942149
explicit_train_only,explicit_expanded_500,400,3 years,unit_word,long_term,long-term option,114,121,0.9421487603305785
explicit_train_only,explicit_expanded_500,400,5 years,exact_phrase,question,question statement,0,0,0.0
explicit_train_only,explicit_expanded_500,400,5 years,exact_phrase,short_term,short-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,5 years,exact_phrase,long_term,long-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,5 years,unit_word,question,question statement,0,121,0.0
explicit_train_only,explicit_expanded_500,400,5 years,unit_word,short_term,short-term option,7,121,0.05785123966942149
explicit_train_only,explicit_expanded_500,400,5 years,unit_word,long_term,long-term option,114,121,0.9421487603305785
explicit_train_only,explicit_expanded_500,400,10 years,exact_phrase,question,question statement,0,0,0.0
explicit_train_only,explicit_expanded_500,400,10 years,exact_phrase,short_term,short-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,10 years,exact_phrase,long_term,long-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,10 years,unit_word,question,question statement,0,121,0.0
explicit_train_only,explicit_expanded_500,400,10 years,unit_word,short_term,short-term option,7,121,0.05785123966942149
explicit_train_only,explicit_expanded_500,400,10 years,unit_word,long_term,long-term option,114,121,0.9421487603305785
