train_dataset,train_dataset_label,feature_name,layer,base_train_size,extra_train_size,train_size,lr_train_acc,lr_explicit_test_acc,lr_implicit_acc,wlr_train_acc,wlr_explicit_test_acc,wlr_implicit_acc,mm_train_acc,mm_explicit_test_acc,mm_implicit_acc,wmm_train_acc,wmm_explicit_test_acc,wmm_implicit_acc,whitener_cov_reg_condition_number,wmm_reg,mm_raw_norm,mm_steering_norm,wmm_raw_norm,wmm_steering_norm
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",last_answer_token,14,800,190,990,1.0,0.995,0.8033333333333333,1.0,0.95,0.7216666666666667,0.9040404040404041,0.935,0.6316666666666667,1.0,0.965,0.7216666666666667,24703.96842592972,0.01,13.437403678894043,1.0,2.140897512435913,1.0
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",last_answer_token,18,800,190,990,1.0,1.0,0.8416666666666667,1.0,0.98,0.7166666666666667,0.7878787878787878,0.77,0.505,1.0,0.98,0.725,23690.600379600273,0.01,15.383589744567871,1.0,1.7988901138305664,1.0
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",last_answer_token,22,800,190,990,1.0,0.99,0.8416666666666667,1.0,0.97,0.7716666666666666,0.7373737373737373,0.705,0.5016666666666667,1.0,0.98,0.7816666666666666,22481.63047047558,0.01,23.127248764038086,0.9999999403953552,1.2109358310699463,0.9999999403953552
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",last_answer_token,26,800,190,990,1.0,0.99,0.8566666666666667,1.0,0.96,0.7733333333333333,0.8707070707070707,0.905,0.5533333333333333,1.0,0.97,0.7833333333333333,21696.224566320237,0.01,39.01128005981445,0.9999998807907104,0.6707429885864258,1.0
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",mean_answer_tokens,10,800,190,990,1.0,0.985,0.8266666666666667,1.0,0.965,0.6916666666666667,0.9545454545454546,0.97,0.7916666666666666,1.0,0.965,0.7016666666666667,18492.52742284127,0.01,8.688583374023438,1.0,3.2114052772521973,1.0
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",mean_answer_tokens,14,800,190,990,1.0,0.985,0.855,1.0,0.985,0.75,0.9484848484848485,0.97,0.78,1.0,0.985,0.7583333333333333,20118.825893211455,0.01,9.722931861877441,1.0,3.151331663131714,1.0
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",mean_answer_tokens,18,800,190,990,1.0,0.985,0.85,1.0,0.965,0.6633333333333333,0.7929292929292929,0.8,0.515,1.0,0.98,0.7,84481.85596632533,0.01,10.994962692260742,0.9999999403953552,2.6169519424438477,1.0
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",mean_answer_tokens,22,800,190,990,1.0,0.98,0.8333333333333334,1.0,0.96,0.71,0.9040404040404041,0.94,0.5966666666666667,1.0,0.975,0.7383333333333333,45313.33082030916,0.01,16.919496536254883,0.9999999403953552,1.8887614011764526,1.0
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",mean_answer_tokens,26,800,190,990,1.0,0.98,0.815,1.0,0.96,0.735,0.8171717171717172,0.83,0.6083333333333333,1.0,0.955,0.765,22274.537020236447,0.01,31.495471954345703,1.0,0.9374869465827942,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",last_answer_token,10,800,390,1190,1.0,0.975,0.815,1.0,0.945,0.6666666666666666,0.8134453781512605,0.825,0.575,1.0,0.95,0.685,21648.378700356956,0.01,10.740429878234863,0.9999999403953552,2.6311635971069336,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",last_answer_token,14,800,390,1190,1.0,0.99,0.8283333333333334,1.0,0.955,0.735,0.8588235294117647,0.92,0.625,1.0,0.965,0.7466666666666667,21643.706481554844,0.01,12.246353149414062,0.9999998807907104,2.423532724380493,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",last_answer_token,18,800,390,1190,1.0,0.99,0.855,1.0,0.955,0.745,0.7336134453781512,0.74,0.505,1.0,0.97,0.76,20616.645617938182,0.01,13.98932933807373,0.9999999403953552,2.0441625118255615,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",last_answer_token,22,800,390,1190,1.0,0.99,0.86,1.0,0.945,0.765,0.6974789915966386,0.7,0.5016666666666667,1.0,0.955,0.7766666666666666,19301.039617411716,0.01,21.152313232421875,1.0,1.4462478160858154,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",last_answer_token,26,800,390,1190,1.0,0.99,0.8533333333333334,1.0,0.945,0.7916666666666666,0.8159663865546218,0.865,0.5366666666666666,1.0,0.965,0.8033333333333333,18776.321900803552,0.01,35.3774299621582,1.0,0.7960553765296936,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",mean_answer_tokens,10,800,390,1190,1.0,0.985,0.8733333333333333,1.0,0.955,0.69,0.9319327731092437,0.97,0.7633333333333333,1.0,0.955,0.7233333333333334,18331.872491158043,0.01,7.866299152374268,1.0,3.9123640060424805,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",mean_answer_tokens,14,800,390,1190,1.0,0.985,0.8916666666666667,1.0,0.965,0.7783333333333333,0.9302521008403362,0.975,0.7633333333333333,1.0,0.97,0.795,22378.919282254807,0.01,8.880404472351074,1.0,3.842866897583008,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",mean_answer_tokens,18,800,390,1190,1.0,0.985,0.8866666666666667,1.0,0.96,0.6683333333333333,0.8571428571428571,0.915,0.6366666666666667,1.0,0.975,0.7283333333333334,136691.74234357144,0.01,10.053007125854492,1.0,2.9625110626220703,0.9999999403953552
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",mean_answer_tokens,22,800,390,1190,1.0,0.98,0.8833333333333333,1.0,0.965,0.7416666666666667,0.9168067226890756,0.965,0.69,1.0,0.975,0.7783333333333333,85598.2337635226,0.01,15.496671676635742,0.9999999403953552,2.190091848373413,1.0
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,"plus March 22 and April 3, 2026 red-team",mean_answer_tokens,26,800,390,1190,1.0,0.98,0.8716666666666667,1.0,0.945,0.755,0.8042016806722689,0.84,0.62,1.0,0.955,0.7933333333333333,29566.44557787848,0.01,28.63249397277832,1.0,1.110134243965149,1.0
