condition,signed_strength,steering_applied,steering_layer,set_type,dataset_index,benchmark_idx,level,days,org,dest,visiting_city_number,people_number,budget,parse_success,parse_method,parse_error,input_tokens,output_tokens,generation_seconds,prompt_path,response_path,plan_path
steer_long_term_plus128,128.0,True,40,validation,11,12,easy,3,St. Petersburg,Appleton,1,1,1200,True,json,,3919,387,24.906187057495117,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0012.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0012.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0012.json
steer_long_term_plus128,128.0,True,40,validation,12,13,easy,3,Pittsburgh,Baltimore,1,1,1200,True,json,,3889,314,20.513932704925537,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0013.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0013.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0013.json
steer_long_term_plus128,128.0,True,40,validation,13,14,easy,3,Denver,Appleton,1,1,1800,True,json,,4032,365,23.666637420654297,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0014.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0014.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0014.json
steer_long_term_plus128,128.0,True,40,validation,14,15,easy,3,St. Louis,Las Vegas,1,1,1300,True,json,,4401,334,21.753124475479126,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0015.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0015.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0015.json
steer_long_term_plus128,128.0,True,40,validation,15,16,easy,3,Spokane,San Francisco,1,1,1200,True,json,,3486,317,20.298458576202393,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0016.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0016.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0016.json
steer_long_term_plus128,128.0,True,40,validation,16,17,easy,3,St. Louis,Washington,1,1,1500,True,json,,4302,345,22.40122699737549,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0017.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0017.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0017.json
steer_long_term_plus128,128.0,True,40,validation,17,18,easy,3,Denver,Palm Springs,1,1,2200,True,json,,4318,346,22.438544988632202,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0018.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0018.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0018.json
steer_long_term_plus128,128.0,True,40,validation,18,19,easy,3,Seattle,San Francisco,1,1,900,True,json,,5421,355,23.449209928512573,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0019.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0019.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0019.json
steer_long_term_plus128,128.0,True,40,validation,19,20,easy,3,Providence,Orlando,1,1,1800,True,json,,4119,305,19.922330856323242,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0020.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0020.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0020.json
steer_long_term_plus128,128.0,True,40,validation,20,21,easy,5,St. Louis,Florida,2,1,2900,True,json,,7407,557,36.91978049278259,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0021.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0021.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0021.json
steer_long_term_plus128,128.0,True,40,validation,21,22,easy,5,Colorado Springs,Illinois,2,1,1900,True,json,,6596,552,35.97281360626221,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0022.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0022.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0022.json
steer_long_term_plus128,128.0,True,40,validation,22,23,easy,5,Little Rock,Texas,2,1,3900,True,json,,9809,2447,159.28431153297424,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0023.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0023.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0023.json
steer_long_term_plus128,128.0,True,40,validation,23,24,easy,5,Latrobe,South Carolina,2,1,4200,True,json,,6693,539,35.25411248207092,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0024.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0024.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0024.json
steer_long_term_plus128,128.0,True,40,validation,24,25,easy,5,Jacksonville,Michigan,2,1,4600,True,json,,6567,527,34.43411326408386,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0025.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0025.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0025.json
steer_long_term_plus128,128.0,True,40,validation,25,26,easy,5,Orlando,Illinois,2,1,2700,True,json,,7681,584,38.84306740760803,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0026.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0026.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0026.json
steer_long_term_plus128,128.0,True,40,validation,26,27,easy,5,Billings,Minnesota,2,1,4000,True,json,,6831,599,39.014007329940796,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0027.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0027.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0027.json
steer_long_term_plus128,128.0,True,40,validation,27,28,easy,5,Washington,Virginia,2,1,2200,True,json,,6689,584,37.99876856803894,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0028.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0028.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0028.json
steer_long_term_plus128,128.0,True,40,validation,28,29,easy,5,Richmond,Tennessee,2,1,2600,True,json,,6023,506,32.81249976158142,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0029.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0029.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0029.json
steer_long_term_plus128,128.0,True,40,validation,29,30,easy,5,Key West,Indiana,2,1,2000,True,json,,6363,529,34.386260986328125,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0030.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0030.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0030.json
steer_long_term_plus128,128.0,True,40,validation,30,31,easy,5,Cedar Rapids,Colorado,2,1,4300,True,json,,5909,612,39.07685971260071,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0031.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0031.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0031.json
steer_long_term_plus128,128.0,True,40,validation,31,32,easy,5,Omaha,Washington,2,1,5000,True,json,,7266,534,35.44078302383423,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0032.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0032.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0032.json
steer_long_term_plus128,128.0,True,40,validation,32,33,easy,5,Denver,Washington,2,1,4200,True,json,,7555,563,37.422717571258545,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0033.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0033.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0033.json
steer_long_term_plus128,128.0,True,40,validation,33,34,easy,5,Charlotte,New Jersey,2,1,4200,True,json,,7030,539,35.531494140625,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0034.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0034.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0034.json
steer_long_term_plus128,128.0,True,40,validation,34,35,easy,5,Gainesville,North Carolina,2,1,2900,True,json,,6490,554,36.00389623641968,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0035.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0035.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0035.json
steer_long_term_plus128,128.0,True,40,validation,35,36,easy,5,Los Angeles,Colorado,2,1,4700,True,json,,6547,532,34.72875189781189,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0036.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0036.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0036.json
steer_long_term_plus128,128.0,True,40,validation,36,37,easy,5,Albuquerque,Texas,2,1,2100,True,json,,10557,546,38.80644726753235,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0037.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0037.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0037.json
steer_long_term_plus128,128.0,True,40,validation,37,38,easy,5,Birmingham,Florida,2,1,3500,True,json,,6951,558,36.661062717437744,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0038.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0038.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0038.json
steer_long_term_plus128,128.0,True,40,validation,38,39,easy,5,Killeen,Texas,2,1,3500,True,json,,8894,562,38.40742373466492,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0039.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0039.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0039.json
steer_long_term_plus128,128.0,True,40,validation,39,40,easy,5,Sun Valley,California,2,1,2600,True,json,,6520,481,31.57363772392273,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0040.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0040.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0040.json
steer_long_term_plus128,128.0,True,40,validation,40,41,easy,7,Philadelphia,Virginia,3,1,1800,True,json,,10168,857,58.17786979675293,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0041.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0041.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0041.json
steer_long_term_plus128,128.0,True,40,validation,41,42,easy,7,Bakersfield,Texas,3,1,6100,True,json,,11254,791,55.01328444480896,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0042.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0042.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0042.json
steer_long_term_plus128,128.0,True,40,validation,42,43,easy,7,Kona,California,3,1,5800,True,json,,9647,761,51.67040729522705,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0043.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0043.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0043.json
steer_long_term_plus128,128.0,True,40,validation,43,44,easy,7,Medford,Colorado,3,1,2400,True,json,,7956,761,49.988765239715576,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0044.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0044.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0044.json
steer_long_term_plus128,128.0,True,40,validation,44,45,easy,7,Devils Lake,Colorado,3,1,3500,True,json,,7704,1290,82.62519001960754,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0045.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0045.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0045.json
steer_long_term_plus128,128.0,True,40,validation,45,46,easy,7,Charlotte,Pennsylvania,3,1,5100,True,json,,9471,771,52.014625549316406,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0046.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0046.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0046.json
steer_long_term_plus128,128.0,True,40,validation,46,47,easy,7,Palm Springs,Texas,3,1,8100,True,json,,12548,811,57.68568706512451,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0047.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0047.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0047.json
steer_long_term_plus128,128.0,True,40,validation,47,48,easy,7,Philadelphia,Virginia,3,1,2900,True,json,,9962,793,53.91533064842224,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0048.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0048.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0048.json
steer_long_term_plus128,128.0,True,40,validation,48,49,easy,7,Dallas,Nebraska,3,1,5600,True,json,,9192,842,56.236701011657715,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0049.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0049.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0049.json
steer_long_term_plus128,128.0,True,40,validation,49,50,easy,7,Columbus,Texas,3,1,4200,True,json,,11496,826,57.538981676101685,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0050.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0050.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0050.json
steer_long_term_plus128,128.0,True,40,validation,50,51,easy,7,Indianapolis,North Carolina,3,1,6500,True,json,,9662,771,52.26312780380249,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0051.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0051.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0051.json
steer_long_term_plus128,128.0,True,40,validation,51,52,easy,7,Wichita,Colorado,3,1,5900,True,json,,8592,1361,88.20781636238098,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0052.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0052.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0052.json
steer_long_term_plus128,128.0,True,40,validation,52,53,easy,7,Augusta,Texas,3,1,4100,True,json,,9255,1434,93.66341733932495,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0053.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0053.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0053.json
steer_long_term_plus128,128.0,True,40,validation,53,54,easy,7,Savannah,Texas,3,1,3200,False,,"ValueError: Parsed JSON is dict, expected a list.",10226,4096,267.5788400173187,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0054.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0054.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0054.json
steer_long_term_plus128,128.0,True,40,validation,54,55,easy,7,Washington,Minnesota,3,1,7200,True,json,,10078,814,55.36075258255005,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0055.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0055.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0055.json
steer_long_term_plus128,128.0,True,40,validation,55,56,easy,7,Los Angeles,Florida,3,1,4700,True,json,,11319,732,51.30655837059021,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0056.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0056.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0056.json
steer_long_term_plus128,128.0,True,40,validation,56,57,easy,7,Kona,California,3,1,2500,True,json,,9438,815,54.77695870399475,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0057.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0057.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0057.json
steer_long_term_plus128,128.0,True,40,validation,57,58,easy,7,Louisville,Florida,3,1,7800,True,json,,9746,802,54.333812952041626,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0058.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/responses/response_0058.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_long_term_plus128/plans/plan_0058.json
