grid_row_id,amount_scale_factor,amount_scale_factor_text,base_x_now,base_x_now_text,base_y_later,base_y_later_text,x_now,x_now_text,y_later,y_later_text,amount_multiplier,amount_multiplier_text,t_delay,time_delay_format,repeat_idx,user_pov,prompt_format,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,choice_binary,patch_layer,prompt_len,question_mark_token_idx,question_mark_token_text,sentence_period_token_idx,sentence_period_token_text,baseline_candidate_immediate_text,baseline_candidate_delayed_text,baseline_immediate_sum_logprob,baseline_immediate_avg_logprob,baseline_immediate_token_count,baseline_delayed_sum_logprob,baseline_delayed_avg_logprob,baseline_delayed_token_count,baseline_delayed_minus_immediate_sum_logprob,baseline_delayed_minus_immediate_avg_logprob,baseline_forced_choice_prefers_delayed_sum,baseline_forced_choice_prefers_delayed_avg,baseline_forced_choice_p_delayed_from_sum,baseline_forced_choice_patch_applied
scale=0.3|mult=1|t=8 hours|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,8 hours,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 8 hours. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,0.0,40,45,28,?,35,.,30$ now,30$ in 8 hours,-8.724150657653809,-2.181037664413452,4,-16.130807876586914,-2.304401159286499,7,-7.4066572189331055,-0.12336349487304688,0.0,0.0,0.0006068285680845062,False
scale=0.3|mult=1|t=90 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,90 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 90 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,0.0,40,46,29,?,36,.,30$ now,30$ in 90 days,-9.072220802307129,-2.2680552005767822,4,-17.760465621948242,-2.2200582027435303,8,-8.688244819641113,0.04799699783325195,0.0,1.0,0.0001685272060362339,False
scale=0.3|mult=1.01|t=1 day|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,1 day,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 1 day. What should I choose? Answer in just a few words.,Take the 30.3$ in 1 day.,Take the 30.3$ in 1 day.,False,y_later,1.0,40,47,30,?,37,.,30$ now,30.3$ in 1 day,-6.59190559387207,-1.6479763984680176,4,-6.477972984313965,-0.7197747826576233,9,0.11393260955810547,0.9282016158103943,1.0,1.0,0.5284523815369785,False
scale=0.3|mult=1.01|t=1 hour|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,1 hour,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,47,30,?,37,.,30$ now,30.3$ in 1 hour,-6.580682754516602,-1.6451706886291504,4,-7.0802178382873535,-0.786690890789032,9,-0.49953508377075195,0.8584797978401184,0.0,1.0,0.37764993205663466,False
scale=0.3|mult=1.01|t=1095 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,1095 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 1095 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,50,33,?,40,.,30$ now,30.3$ in 1095 days,-6.463374614715576,-1.615843653678894,4,-10.929101943969727,-0.9107584953308105,12,-4.46572732925415,0.7050851583480835,0.0,1.0,0.011365667622339015,False
scale=0.3|mult=1.01|t=1825 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,1825 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 1825 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,50,33,?,40,.,30$ now,30.3$ in 1825 days,-6.537646293640137,-1.6344115734100342,4,-9.415828704833984,-0.7846524119377136,12,-2.8781824111938477,0.8497591614723206,0.0,1.0,0.05324268286923131,False
scale=0.3|mult=1.01|t=2 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,2 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 2 days. What should I choose? Answer in just a few words.,Take the 30.3$ in 2 days.,Take the 30.3$ in 2 days.,False,y_later,1.0,40,47,30,?,37,.,30$ now,30.3$ in 2 days,-6.2119669914245605,-1.5529917478561401,4,-6.603757381439209,-0.7337508201599121,9,-0.39179039001464844,0.819240927696228,0.0,1.0,0.40328637515587556,False
scale=0.3|mult=1.01|t=30 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,30 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,30.3$ in 30 days,-5.838024139404297,-1.4595060348510742,4,-6.279006481170654,-0.6279006600379944,10,-0.4409823417663574,0.8316053748130798,0.0,1.0,0.3915069217839764,False
scale=0.3|mult=1.01|t=365 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,365 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 365 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,49,32,?,39,.,30$ now,30.3$ in 365 days,-6.480827808380127,-1.6202069520950317,4,-13.84478759765625,-1.2586170434951782,11,-7.363959789276123,0.3615899085998535,0.0,1.0,0.0006332829274943655,False
scale=0.3|mult=1.01|t=3650 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,3650 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 3650 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,50,33,?,40,.,30$ now,30.3$ in 3650 days,-6.338868618011475,-1.5847171545028687,4,-12.580394744873047,-1.0483663082122803,12,-6.241526126861572,0.5363508462905884,0.0,1.0,0.0019430990807175442,False
scale=0.3|mult=1.01|t=7 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,7 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 7 days. What should I choose? Answer in just a few words.,Take the 30.3$ in 7 days.,Take the 30.3$ in 7 days.,False,y_later,1.0,40,47,30,?,37,.,30$ now,30.3$ in 7 days,-5.696001052856445,-1.4240002632141113,4,-4.51347541809082,-0.5014972686767578,9,1.182525634765625,0.9225029945373535,1.0,1.0,0.7654016157013904,False
scale=0.3|mult=1.01|t=730 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,730 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 730 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,49,32,?,39,.,30$ now,30.3$ in 730 days,-6.645505905151367,-1.6613764762878418,4,-12.643492698669434,-1.1494084596633911,11,-5.997986793518066,0.5119680166244507,0.0,1.0,0.002477593726097408,False
scale=0.3|mult=1.01|t=8 hours|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,8 hours,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 8 hours. What should I choose? Answer in just a few words.,Take the 30.3$ in 8 hours.,Take the 30.3$ in 8 hours.,False,y_later,1.0,40,47,30,?,37,.,30$ now,30.3$ in 8 hours,-6.2541022300720215,-1.5635255575180054,4,-6.75908899307251,-0.7510098814964294,9,-0.5049867630004883,0.8125156760215759,0.0,1.0,0.3763694786255714,False
scale=0.3|mult=1.01|t=90 days|repeat=1,0.3,0.3,100,100,101,101,30,30,30.3,30.3,1.01,1.01,90 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30.3$ in 90 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,30.3$ in 90 days,-5.684762477874756,-1.421190619468689,4,-9.354388236999512,-0.9354388117790222,10,-3.669625759124756,0.48575180768966675,0.0,1.0,0.02485261224101883,False
scale=0.3|mult=1.1|t=1 day|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,1 day,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 1 day. What should I choose? Answer in just a few words.,Take the 33$ in 1 day.,Take the 33$ in 1 day.,False,y_later,1.0,40,45,28,?,35,.,30$ now,33$ in 1 day,-5.454831600189209,-1.3637079000473022,4,-5.172084808349609,-0.738869309425354,7,0.2827467918395996,0.6248385906219482,1.0,1.0,0.5702195075134813,False
scale=0.3|mult=1.1|t=1 hour|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,1 hour,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 1 hour. What should I choose? Answer in just a few words.,Choose the 33$ in 1 hour.,Choose the 33$ in 1 hour.,False,y_later,1.0,40,45,28,?,35,.,30$ now,33$ in 1 hour,-5.727132797241211,-1.4317831993103027,4,-5.973991394042969,-0.8534273505210876,7,-0.2468585968017578,0.5783558487892151,0.0,1.0,0.4385968559261071,False
scale=0.3|mult=1.1|t=1095 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,1095 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 1095 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,33$ in 1095 days,-6.492122173309326,-1.6230305433273315,4,-11.288992881774902,-1.128899335861206,10,-4.796870708465576,0.4941312074661255,0.0,1.0,0.008187944752754507,False
scale=0.3|mult=1.1|t=1825 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,1825 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 1825 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,33$ in 1825 days,-6.00822639465332,-1.50205659866333,4,-9.727130889892578,-0.9727131128311157,10,-3.718904495239258,0.5293434858322144,0.0,1.0,0.023685898353115784,False
scale=0.3|mult=1.1|t=2 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,2 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 2 days. What should I choose? Answer in just a few words.,Take the 33$ in 2 days.,Take the 33$ in 2 days.,False,y_later,1.0,40,45,28,?,35,.,30$ now,33$ in 2 days,-5.733697414398193,-1.4334243535995483,4,-4.697946548461914,-0.6711352467536926,7,1.0357508659362793,0.7622891068458557,1.0,1.0,0.7380293010968767,False
scale=0.3|mult=1.1|t=30 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,30 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 30 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,0.0,40,46,29,?,36,.,30$ now,33$ in 30 days,-5.33143949508667,-1.3328598737716675,4,-8.922731399536133,-1.1153414249420166,8,-3.591291904449463,0.21751844882965088,0.0,1.0,0.026823374441575475,False
scale=0.3|mult=1.1|t=365 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,365 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 365 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,47,30,?,37,.,30$ now,33$ in 365 days,-6.797435760498047,-1.6993589401245117,4,-13.363189697265625,-1.4847989082336426,9,-6.565753936767578,0.21456003189086914,0.0,1.0,0.0014057831786296973,False
scale=0.3|mult=1.1|t=3650 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,3650 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 3650 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,33$ in 3650 days,-5.320683479309082,-1.3301708698272705,4,-8.977221488952637,-0.8977221846580505,10,-3.6565380096435547,0.43244868516921997,0.0,1.0,0.025171773508670118,False
scale=0.3|mult=1.1|t=7 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,7 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 7 days. What should I choose? Answer in just a few words.,Take the 33$ in 7 days.,Take the 33$ in 7 days.,False,y_later,1.0,40,45,28,?,35,.,30$ now,33$ in 7 days,-4.702602863311768,-1.175650715827942,4,-4.263171195983887,-0.6090244650840759,7,0.43943166732788086,0.566626250743866,1.0,1.0,0.6081236001184687,False
scale=0.3|mult=1.1|t=730 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,730 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 730 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,47,30,?,37,.,30$ now,33$ in 730 days,-6.130570411682129,-1.5326426029205322,4,-11.396480560302734,-1.2662756443023682,9,-5.2659101486206055,0.26636695861816406,0.0,1.0,0.005138153282646794,False
scale=0.3|mult=1.1|t=8 hours|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,8 hours,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 8 hours. What should I choose? Answer in just a few words.,Take the 33$ in 8 hours.,Take the 33$ in 8 hours.,False,y_later,1.0,40,45,28,?,35,.,30$ now,33$ in 8 hours,-6.504056930541992,-1.626014232635498,4,-7.344350337982178,-1.0491929054260254,7,-0.8402934074401855,0.5768213272094727,0.0,1.0,0.30147299259797294,False
scale=0.3|mult=1.1|t=90 days|repeat=1,0.3,0.3,100,100,110,110,30,30,33.0,33,1.1,1.1,90 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 33$ in 90 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,46,29,?,36,.,30$ now,33$ in 90 days,-5.871676921844482,-1.4679192304611206,4,-12.245331764221191,-1.530666470527649,8,-6.373654842376709,-0.06274724006652832,0.0,0.0,0.0017030077918674168,False
scale=0.3|mult=1.5|t=1 day|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,1 day,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 1 day. What should I choose? Answer in just a few words.,Take the 45$ in 1 day.,Take the 45$ in 1 day.,False,y_later,1.0,40,45,28,?,35,.,30$ now,45$ in 1 day,-12.532377243041992,-3.133094310760498,4,-3.526292085647583,-0.503756046295166,7,9.00608515739441,2.629338264465332,1.0,1.0,0.9998773539276473,False
scale=0.3|mult=1.5|t=1 hour|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,1 hour,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 1 hour. What should I choose? Answer in just a few words.,Choose 45$ in 1 hour.,Choose 45$ in 1 hour.,False,y_later,1.0,40,45,28,?,35,.,30$ now,45$ in 1 hour,-12.760550498962402,-3.1901376247406006,4,-3.766498327255249,-0.5380712151527405,7,8.994052171707153,2.65206640958786,1.0,1.0,0.9998758693986604,False
scale=0.3|mult=1.5|t=1095 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,1095 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 1095 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,45$ in 1095 days,-8.354061126708984,-2.088515281677246,4,-7.007565021514893,-0.7007564902305603,10,1.3464961051940918,1.3877587914466858,1.0,1.0,0.7935561938852932,False
scale=0.3|mult=1.5|t=1825 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,1825 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 1825 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,45$ in 1825 days,-8.76793098449707,-2.1919827461242676,4,-6.656511306762695,-0.6656511425971985,10,2.111419677734375,1.526331603527069,1.0,1.0,0.8920081663508511,False
scale=0.3|mult=1.5|t=2 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,2 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 2 days. What should I choose? Answer in just a few words.,Take the 45$ in 2 days.,Take the 45$ in 2 days.,False,y_later,1.0,40,45,28,?,35,.,30$ now,45$ in 2 days,-12.665350914001465,-3.166337728500366,4,-3.0968732833862305,-0.44241049885749817,7,9.568477630615234,2.723927229642868,1.0,1.0,0.9999301071725715,False
scale=0.3|mult=1.5|t=30 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,30 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 30 days. What should I choose? Answer in just a few words.,Take the 45$ in 30 days.,Take the 45$ in 30 days.,False,y_later,1.0,40,46,29,?,36,.,30$ now,45$ in 30 days,-11.245771408081055,-2.8114428520202637,4,-3.756314516067505,-0.4695393145084381,8,7.48945689201355,2.3419035375118256,1.0,1.0,0.9994413658002625,False
scale=0.3|mult=1.5|t=365 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,365 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 365 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,47,30,?,37,.,30$ now,45$ in 365 days,-7.708804130554199,-1.9272010326385498,4,-8.364362716674805,-0.9293736219406128,9,-0.6555585861206055,0.997827410697937,0.0,1.0,0.34173801814129473,False
scale=0.3|mult=1.5|t=3650 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,3650 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 3650 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,45$ in 3650 days,-7.145388603210449,-1.7863471508026123,4,-7.5987982749938965,-0.7598798274993896,10,-0.45340967178344727,1.0264673233032227,0.0,1.0,0.3885503925271381,False
scale=0.3|mult=1.5|t=7 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,7 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 7 days. What should I choose? Answer in just a few words.,Take the 45$ in 7 days.,Take the 45$ in 7 days.,False,y_later,1.0,40,45,28,?,35,.,30$ now,45$ in 7 days,-11.957950592041016,-2.989487648010254,4,-2.8262360095977783,-0.4037480056285858,7,9.131714582443237,2.585739642381668,1.0,1.0,0.9998918317590693,False
scale=0.3|mult=1.5|t=730 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,730 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 730 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,False,x_now,0.0,40,47,30,?,37,.,30$ now,45$ in 730 days,-9.148295402526855,-2.287073850631714,4,-6.426736831665039,-0.714081883430481,9,2.7215585708618164,1.572991967201233,1.0,1.0,0.9382868438976127,False
scale=0.3|mult=1.5|t=8 hours|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,8 hours,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 8 hours. What should I choose? Answer in just a few words.,Take the 45$ in 8 hours.,Take the 45$ in 8 hours.,False,y_later,1.0,40,45,28,?,35,.,30$ now,45$ in 8 hours,-12.217026710510254,-3.0542566776275635,4,-4.672361850738525,-0.6674802899360657,7,7.5446648597717285,2.386776387691498,1.0,1.0,0.9994713551139525,False
scale=0.3|mult=1.5|t=90 days|repeat=1,0.3,0.3,100,100,150,150,30,30,45.0,45,1.5,1.5,90 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 45$ in 90 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,0.0,40,46,29,?,36,.,30$ now,45$ in 90 days,-9.199026107788086,-2.2997565269470215,4,-5.173288822174072,-0.646661102771759,8,4.025737285614014,1.6530954241752625,1.0,1.0,0.9824627852559666,False
scale=0.3|mult=2|t=1 day|repeat=1,0.3,0.3,100,100,200,200,30,30,60.0,60,2.0,2,1 day,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 60$ in 1 day. What should I choose? Answer in just a few words.,Take the 60$ in 1 day.,Take the 60$ in 1 day.,False,y_later,1.0,40,45,28,?,35,.,30$ now,60$ in 1 day,-10.907771110534668,-2.726942777633667,4,-3.0149569511413574,-0.4307081699371338,7,7.8928141593933105,2.296234607696533,1.0,1.0,0.9996267221490558,False
