probe,arm,comp_spans,comp_tokens,comp_share_alllayer,closed_tokens,ctx_tokens,context_fill,pathology,gold,pred,correct,parsed,mean_entropy,response
12,near_dup_comp_close,25,94,0.0020884766571025136,94,2899,0.7078,Pulmonary embolism,C,C,True,True,0.089523657912423,C) Pulmonary embolism
12,near_dup_rand_close,25,94,0.0020884766571025136,94,2899,0.7078,Pulmonary embolism,C,C,True,True,0.1628536036374726,C
12,random,25,94,0.0020884766571025136,0,3225,0.7874,Pulmonary embolism,C,C,True,True,0.09908225117170844,C) Pulmonary embolism
13,near_dup,32,114,0.003679393707848841,0,2853,0.6965,Influenza,E,B,False,True,0.0019529785495251417,B
13,near_dup_comp_close,32,114,0.003679393707848841,114,2853,0.6965,Influenza,E,B,False,True,0.33702928200364113,B
13,near_dup_rand_close,32,114,0.003679393707848841,114,2853,0.6965,Influenza,E,B,False,True,0.06369035691022873,B
13,random,32,114,0.003679393707848841,0,3520,0.8594,Influenza,E,A,False,True,0.266993821329739,A) URTI
15,near_dup,32,112,0.002769574739089092,0,2998,0.7319,Allergic sinusitis,C,B,False,True,0.18442032852908596,B
15,near_dup_comp_close,32,112,0.002769574739089092,112,2998,0.7319,Allergic sinusitis,C,B,False,True,0.2457551320818491,B) URTI
15,near_dup_rand_close,32,112,0.002769574739089092,112,2998,0.7319,Allergic sinusitis,C,B,False,True,0.31262463106031646,B
15,random,32,112,0.002769574739089092,0,2483,0.6062,Allergic sinusitis,C,B,False,True,0.5716572403907776,B
16,near_dup,32,121,0.002162408446114319,0,2409,0.5881,Bronchospasm / acute asthma exacerbation,E,E,True,True,0.034570220855641765,E
16,near_dup_comp_close,32,121,0.002162408446114319,121,2409,0.5881,Bronchospasm / acute asthma exacerbation,E,E,True,True,0.3456674486515112,E
16,near_dup_rand_close,32,121,0.002162408446114319,121,2409,0.5881,Bronchospasm / acute asthma exacerbation,E,E,True,True,0.32280778569031554,E
16,random,32,121,0.002162408446114319,0,3134,0.7651,Bronchospasm / acute asthma exacerbation,E,E,True,True,0.00104256157646887,E
17,near_dup,32,161,0.0034284335759865153,0,3673,0.8967,Panic attack,A,A,True,True,0.12154196410465375,A) Panic attack
17,near_dup_comp_close,32,161,0.0034284335759865153,161,3673,0.8967,Panic attack,A,A,True,True,0.005317059193839668,A) Panic attack
17,near_dup_rand_close,32,161,0.0034284335759865153,161,3673,0.8967,Panic attack,A,A,True,True,0.024399346484278793,A) Panic attack
17,random,32,161,0.0034284335759865153,0,3316,0.8096,Panic attack,A,A,True,True,0.11391859850245964,A) Panic attack
18,near_dup,25,131,0.003636402491618797,0,3277,0.8,Pulmonary neoplasm,A,A,True,True,0.06045304863368983,A) Pulmonary neoplasm
18,near_dup_comp_close,25,131,0.003636402491618797,131,3277,0.8,Pulmonary neoplasm,A,A,True,True,0.003212830626125651,A) Pulmonary neoplasm
18,near_dup_rand_close,25,131,0.003636402491618797,131,3277,0.8,Pulmonary neoplasm,A,A,True,True,0.05107506275663809,A) Pulmonary neoplasm
18,random,25,131,0.003636402491618797,0,2937,0.717,Pulmonary neoplasm,A,A,True,True,0.04242139742291329,A) Pulmonary neoplasm
19,near_dup,24,124,0.003235637735159271,0,2575,0.6287,Epiglottitis,A,E,False,True,0.530396025649452,"E) Acute laryngitis

The symptoms described describe, including a sharp, intense pain that improves when leaning forward, difficulty swallowing, and a ho"
19,near_dup_comp_close,24,124,0.003235637735159271,124,2575,0.6287,Epiglottitis,A,A,True,True,0.02914861664066848,A) Epiglottitis
19,near_dup_rand_close,24,124,0.003235637735159271,124,2575,0.6287,Epiglottitis,A,A,True,True,0.088400327730767,A) Epiglottitis
19,random,24,124,0.003235637735159271,0,3146,0.7681,Epiglottitis,A,D,False,True,0.02132498488208512,D
20,near_dup,32,157,0.004358930189240966,0,3213,0.7844,Pulmonary embolism,D,D,True,True,0.050449105157895247,D
20,near_dup_comp_close,32,157,0.004358930189240966,157,3213,0.7844,Pulmonary embolism,D,D,True,True,0.09110966471894244,D) Pulmonary embolism
20,near_dup_rand_close,32,157,0.004358930189240966,157,3213,0.7844,Pulmonary embolism,D,D,True,True,0.16169023700786056,D
20,random,32,157,0.004358930189240966,0,3199,0.781,Pulmonary embolism,D,D,True,True,0.010279976087986142,D
21,near_dup,29,95,0.0025228000408980427,0,3222,0.7866,URTI,D,D,True,True,0.05417454702580926,D
21,near_dup_comp_close,29,95,0.0025228000408980427,95,3222,0.7866,URTI,D,D,True,True,0.10806487779903289,D) URTI
21,near_dup_rand_close,29,95,0.0025228000408980427,95,3222,0.7866,URTI,D,D,True,True,0.3488220896506391,D
21,random,29,95,0.0025228000408980427,0,3285,0.802,URTI,D,D,True,True,0.19860524186364614,D
22,near_dup,32,128,0.005180732831891914,0,3360,0.8203,Unstable angina,E,A,False,True,0.09420777317028524,A) Possible NSTEMI / STEMI
22,near_dup_comp_close,32,128,0.005180732831891914,128,3360,0.8203,Unstable angina,E,A,False,True,0.015434332539842898,A) Possible NSTEMI / STEMI
22,near_dup_rand_close,32,128,0.005180732831891914,128,3360,0.8203,Unstable angina,E,A,False,True,0.030233627438997247,A) Possible NSTEMI / STEMI
22,random,32,128,0.005180732831891914,0,2964,0.7236,Unstable angina,E,A,False,True,0.19446321297436953,A
23,near_dup,32,97,0.003402592825832483,0,2640,0.6445,Acute otitis media,D,B,False,True,0.2550744393229252,B
23,near_dup_comp_close,32,97,0.003402592825832483,97,2640,0.6445,Acute otitis media,D,B,False,True,0.15276939049203692,B) URTI (Upper Respiratory Tract Infection)
23,near_dup_rand_close,32,97,0.003402592825832483,97,2640,0.6445,Acute otitis media,D,B,False,True,0.24318011786813565,"B) URTI

Given the symptoms of ear pain, mood instability, fever, nasal congestion, and cough, these are consistent with an Upper Respiratory"
23,random,32,97,0.003402592825832483,0,2952,0.7207,Acute otitis media,D,D,True,True,0.16209875792264938,D
24,near_dup,32,128,0.002619193222816113,0,2545,0.6213,Pneumonia,D,D,True,True,0.555808037519455,D
24,near_dup_comp_close,32,128,0.002619193222816113,128,2545,0.6213,Pneumonia,D,D,True,True,0.05429660070915686,D) Pneumonia
24,near_dup_rand_close,32,128,0.002619193222816113,128,2545,0.6213,Pneumonia,D,D,True,True,0.18224463472714497,D) Pneumonia
24,random,32,128,0.002619193222816113,0,3337,0.8147,Pneumonia,D,D,True,True,0.13192050717771053,D
25,near_dup,29,160,0.0039337770635515645,0,2450,0.5981,Epiglottitis,B,E,False,True,0.6674618721008301,E
25,near_dup_comp_close,29,160,0.0039337770635515645,160,2450,0.5981,Epiglottitis,B,A,False,True,0.026763172309711793,A) Possible NSTEMI / STEMI
25,near_dup_rand_close,29,160,0.0039337770635515645,160,2450,0.5981,Epiglottitis,B,D,False,True,0.4982165313610931,"D) HIV (initial infection)

Given the symptoms and history, the combination of severe throat pain, hoarseness, increased salivation, and a recent exposure"
25,random,29,160,0.0039337770635515645,0,3142,0.7671,Epiglottitis,B,E,False,True,0.39765430986881256,E
26,near_dup,24,127,0.003340522434137359,0,2924,0.7139,Viral pharyngitis,B,C,False,True,0.236890428699553,C
26,near_dup_comp_close,24,127,0.003340522434137359,127,2924,0.7139,Viral pharyngitis,B,C,False,True,0.2973370227844825,C) URTI
26,near_dup_rand_close,24,127,0.003340522434137359,127,2924,0.7139,Viral pharyngitis,B,C,False,True,0.26772539344332813,C) URTI
26,random,24,127,0.003340522434137359,0,3040,0.7422,Viral pharyngitis,B,C,False,True,0.14787657887973182,C
27,near_dup,26,76,0.0018946200539005711,0,3122,0.7622,Myocarditis,E,E,True,True,0.00999706401489675,E
27,near_dup_comp_close,26,76,0.0018946200539005711,76,3122,0.7622,Myocarditis,E,A,False,True,0.1383205914637074,A) Chagas
27,near_dup_rand_close,26,76,0.0018946200539005711,76,3122,0.7622,Myocarditis,E,E,True,True,0.01025870069861412,E
27,random,26,76,0.0018946200539005711,0,2982,0.728,Myocarditis,E,E,True,True,0.1426716297864914,E
28,near_dup,32,174,0.0040989317801517905,0,3402,0.8306,Pulmonary embolism,E,E,True,True,0.006533421692438424,E
28,near_dup_comp_close,32,174,0.0040989317801517905,174,3402,0.8306,Pulmonary embolism,E,E,True,True,0.09329778123708365,E) Pulmonary embolism
28,near_dup_rand_close,32,174,0.0040989317801517905,174,3402,0.8306,Pulmonary embolism,E,E,True,True,0.16346027090688153,E) Pulmonary embolism
28,random,32,174,0.0040989317801517905,0,3173,0.7747,Pulmonary embolism,E,E,True,True,0.010402988991700113,E
29,near_dup,29,91,0.002707099098426384,0,2749,0.6711,Pneumonia,B,B,True,True,0.004050615010783076,B
29,near_dup_comp_close,29,91,0.002707099098426384,91,2749,0.6711,Pneumonia,B,B,True,True,0.10353531237868603,B) Pneumonia
29,near_dup_rand_close,29,91,0.002707099098426384,91,2749,0.6711,Pneumonia,B,B,True,True,0.10701869043987244,B
29,random,29,91,0.002707099098426384,0,3034,0.7407,Pneumonia,B,B,True,True,0.2201558443484828,B
30,near_dup,32,109,0.0032854267791414564,0,2850,0.6958,Influenza,A,B,False,True,0.052264725090935826,B
30,near_dup_comp_close,32,109,0.0032854267791414564,109,2850,0.6958,Influenza,A,B,False,True,0.34988318383693695,B
30,near_dup_rand_close,32,109,0.0032854267791414564,109,2850,0.6958,Influenza,A,B,False,True,0.11207046220079064,B
30,random,32,109,0.0032854267791414564,0,3047,0.7439,Influenza,A,A,True,True,0.15293313582612558,A) Influenza
31,near_dup,32,132,0.0028112651132862904,0,3392,0.8281,Acute COPD exacerbation / infection,C,C,True,True,0.10821415031139736,C
31,near_dup_comp_close,32,132,0.0028112651132862904,132,3392,0.8281,Acute COPD exacerbation / infection,C,C,True,True,0.03789143139563707,C) Acute COPD exacerbation / infection
31,near_dup_rand_close,32,132,0.0028112651132862904,132,3392,0.8281,Acute COPD exacerbation / infection,C,C,True,True,0.22267586430700703,C
31,random,32,132,0.0028112651132862904,0,2824,0.6895,Acute COPD exacerbation / infection,C,C,True,True,0.016917727883978273,C
32,near_dup,32,120,0.004857254051288839,0,3915,0.9558,URTI,C,C,True,True,0.24567407460600066,C) URTI
32,near_dup_comp_close,32,120,0.004857254051288839,120,3915,0.9558,URTI,C,C,True,True,0.09727076735341218,C) URTI (Upper Respiratory Tract Infection)
32,near_dup_rand_close,32,120,0.004857254051288839,120,3915,0.9558,URTI,C,C,True,True,0.21890574268066607,C) URTI
32,random,32,120,0.004857254051288839,0,3015,0.7361,URTI,C,C,True,True,0.3128162054387265,C) URTI
33,near_dup,32,93,0.002186919302382915,0,3934,0.9604,Anemia,C,C,True,True,0.08324730853053097,C) Anemia
33,near_dup_comp_close,32,93,0.002186919302382915,93,3934,0.9604,Anemia,C,C,True,True,0.03439194221280104,C) Anemia
33,near_dup_rand_close,32,93,0.002186919302382915,93,3934,0.9604,Anemia,C,C,True,True,0.14878679579001072,C) Anemia
33,random,32,93,0.002186919302382915,0,3300,0.8057,Anemia,C,C,True,True,0.0551748213893859,C
34,near_dup,30,134,0.004632171136431143,0,2581,0.6301,Anemia,C,C,True,True,0.3437562435865402,C
34,near_dup_comp_close,30,134,0.004632171136431143,134,2581,0.6301,Anemia,C,C,True,True,0.1578014324696369,C) Anemia
34,near_dup_rand_close,30,134,0.004632171136431143,134,2581,0.6301,Anemia,C,C,True,True,0.3871295699674192,C) Anemia
34,random,30,134,0.004632171136431143,0,3121,0.762,Anemia,C,C,True,True,0.013814807665767148,C
36,near_dup,32,167,0.0043129533754505435,0,3360,0.8203,Acute pulmonary edema,D,D,True,True,0.13011988485231996,D
36,near_dup_comp_close,32,167,0.0043129533754505435,167,3360,0.8203,Acute pulmonary edema,D,B,False,True,0.6086161732673645,B
36,near_dup_rand_close,32,167,0.0043129533754505435,167,3360,0.8203,Acute pulmonary edema,D,D,True,True,0.26561261306051165,D
36,random,32,167,0.0043129533754505435,0,3397,0.8293,Acute pulmonary edema,D,B,False,True,0.3163650380447507,B
37,near_dup,24,101,0.0023654171385762784,0,2965,0.7239,Acute pulmonary edema,C,C,True,True,0.0973713044077158,C
37,near_dup_comp_close,24,101,0.0023654171385762784,101,2965,0.7239,Acute pulmonary edema,C,C,True,True,0.11075760497669762,C) Acute pulmonary ededema
37,near_dup_rand_close,24,101,0.0023654171385762784,101,2965,0.7239,Acute pulmonary edema,C,C,True,True,0.35289953649044037,C
37,random,24,101,0.0023654171385762784,0,3205,0.7825,Acute pulmonary edema,C,C,True,True,0.07847282396323862,C
38,near_dup,32,160,0.0036891995497665164,0,3070,0.7495,Chronic rhinosinusitis,B,D,False,True,0.06598885278071975,D
38,near_dup_comp_close,32,160,0.0036891995497665164,160,3070,0.7495,Chronic rhinosinusitis,B,D,False,True,0.014806248681250307,D) Acute rhinosinusitis
38,near_dup_rand_close,32,160,0.0036891995497665164,160,3070,0.7495,Chronic rhinosinusitis,B,D,False,True,0.11789612901156943,D
38,random,32,160,0.0036891995497665164,0,2934,0.7163,Chronic rhinosinusitis,B,D,False,True,0.3538569794748696,D
39,near_dup,32,112,0.0018446027948383808,0,3588,0.876,URTI,E,E,True,True,0.1040304697692136,E) URTI
39,near_dup_comp_close,32,112,0.0018446027948383808,112,3588,0.876,URTI,E,E,True,True,0.16216658699427455,E) URTI
39,near_dup_rand_close,32,112,0.0018446027948383808,112,3588,0.876,URTI,E,E,True,True,0.12028025570672678,E) URTI
39,random,32,112,0.0018446027948383808,0,2932,0.7158,URTI,E,E,True,True,0.13852982586179982,E) URTI
40,near_dup,32,118,0.00518331992769673,0,3256,0.7949,Influenza,D,D,True,True,0.8386764824390411,D
40,near_dup_comp_close,32,118,0.00518331992769673,118,3256,0.7949,Influenza,D,A,False,True,0.16688266514371813,A) URTI (Upper Respiratory Tract Infection)
40,near_dup_rand_close,32,118,0.00518331992769673,118,3256,0.7949,Influenza,D,D,True,True,0.7833958268165588,D
40,random,32,118,0.00518331992769673,0,2855,0.697,Influenza,D,A,False,True,0.12874969421150695,A) URTI
41,near_dup,32,172,0.0042943621913542765,0,2419,0.5906,Acute dystonic reactions,C,C,True,True,0.3366679977584681,C
41,near_dup_comp_close,32,172,0.0042943621913542765,172,2419,0.5906,Acute dystonic reactions,C,C,True,True,0.009068274767230378,C) Acute dystonic reactions
41,near_dup_rand_close,32,172,0.0042943621913542765,172,2419,0.5906,Acute dystonic reactions,C,C,True,True,0.05456381709529978,C) Acute dystonic reactions
41,random,32,172,0.0042943621913542765,0,2702,0.6597,Acute dystonic reactions,C,C,True,True,0.2884866424685697,C
42,near_dup,32,132,0.0036146904299050055,0,3632,0.8867,Unstable angina,B,A,False,True,0.04147209735992874,A) Possible NSTEMI / STEMI
42,near_dup_comp_close,32,132,0.0036146904299050055,132,3632,0.8867,Unstable angina,B,A,False,True,0.008067867674252226,A) Possible NSTEMI / STEMI
42,near_dup_rand_close,32,132,0.0036146904299050055,132,3632,0.8867,Unstable angina,B,A,False,True,0.058137844759676226,A) Possible NSTEMI / STEMI
42,random,32,132,0.0036146904299050055,0,2937,0.717,Unstable angina,B,A,False,True,0.046134175279235023,A) Possible NSTEMI / STEMI
43,near_dup,29,142,0.00359703313507185,0,2659,0.6492,Pulmonary embolism,C,C,True,True,0.029544862663442473,C
43,near_dup_comp_close,29,142,0.00359703313507185,142,2659,0.6492,Pulmonary embolism,C,C,True,True,0.09236094850606946,C) Pulmonary embolism
43,near_dup_rand_close,29,142,0.00359703313507185,142,2659,0.6492,Pulmonary embolism,C,C,True,True,0.06228144767834465,C) Pulmonary embolism
43,random,29,142,0.00359703313507185,0,3504,0.8555,Pulmonary embolism,C,C,True,True,0.07622592572352005,C
44,near_dup,25,92,0.002034551899045158,0,2860,0.6982,Scombroid food poisoning,A,A,True,True,0.3201630255570507,A
44,near_dup_comp_close,25,92,0.002034551899045158,92,2860,0.6982,Scombroid food poisoning,A,A,True,True,0.015040334946206713,A) Scombroid food poisoning
44,near_dup_rand_close,25,92,0.002034551899045158,92,2860,0.6982,Scombroid food poisoning,A,A,True,True,0.03304988044419943,A) Scombroid food poisoning
44,random,25,92,0.002034551899045158,0,2981,0.7278,Scombroid food poisoning,A,A,True,True,0.11713809999682212,A
45,near_dup,32,156,0.004082224080645587,0,2998,0.7319,Chronic rhinosinusitis,B,B,True,True,0.2867735745385289,B
45,near_dup_comp_close,32,156,0.004082224080645587,156,2998,0.7319,Chronic rhinosinusitis,B,B,True,True,0.013739798007861737,B) Chronic rhinosinusitis
45,near_dup_rand_close,32,156,0.004082224080645587,156,2998,0.7319,Chronic rhinosinusitis,B,B,True,True,0.08877159372354981,B) Chronic rhinosinusitis
45,random,32,156,0.004082224080645587,0,2912,0.7109,Chronic rhinosinusitis,B,B,True,True,0.01334734523879888,B
46,near_dup,32,148,0.004218683778256566,0,3509,0.8567,Myocarditis,C,B,False,True,0.6393696516752243,B
46,near_dup_comp_close,32,148,0.004218683778256566,148,3509,0.8567,Myocarditis,C,E,False,True,0.6761010885238647,E
46,near_dup_rand_close,32,148,0.004218683778256566,148,3509,0.8567,Myocarditis,C,E,False,True,0.4115798883140087,E
46,random,32,148,0.004218683778256566,0,3451,0.8425,Myocarditis,C,D,False,True,0.3254754077643156,D
47,near_dup,32,153,0.005516911643420591,0,2945,0.719,Possible NSTEMI / STEMI,A,A,True,True,0.01718384684884313,A) Possible NSTEMI / STEMI
47,near_dup_comp_close,32,153,0.005516911643420591,153,2945,0.719,Possible NSTEMI / STEMI,A,A,True,True,0.008267249511187912,A) Possible NSTEMI / STEMI
47,near_dup_rand_close,32,153,0.005516911643420591,153,2945,0.719,Possible NSTEMI / STEMI,A,A,True,True,0.007161734947777632,A) Possible NSTEMI / STEMI
47,random,32,153,0.005516911643420591,0,3145,0.7678,Possible NSTEMI / STEMI,A,A,True,True,0.06580195519158565,A) Possible NSTEMI / STEMI
48,near_dup,32,139,0.0027177382313931203,0,3921,0.9573,Bronchiectasis,D,B,False,True,0.04439976660069078,B
48,near_dup_comp_close,32,139,0.0027177382313931203,139,3921,0.9573,Bronchiectasis,D,B,False,True,0.041325840201796964,B) Acute COPD exacerbation / infection
48,near_dup_rand_close,32,139,0.0027177382313931203,139,3921,0.9573,Bronchiectasis,D,B,False,True,0.2298908333759755,B
48,random,32,139,0.0027177382313931203,0,3243,0.7917,Bronchiectasis,D,B,False,True,0.0034486373303366236,B
49,near_dup,32,184,0.0035936046371793737,0,2592,0.6328,Anaphylaxis,A,A,True,True,0.028736079868573534,A) Anaphylaxis
49,near_dup_comp_close,32,184,0.0035936046371793737,184,2592,0.6328,Anaphylaxis,A,A,True,True,0.0005230816968670686,A) Anaphylaxis
49,near_dup_rand_close,32,184,0.0035936046371793737,184,2592,0.6328,Anaphylaxis,A,A,True,True,0.0037318671456887387,A) Anaphylaxis
49,random,32,184,0.0035936046371793737,0,3404,0.8311,Anaphylaxis,A,A,True,True,0.06376792870024925,A) Anaphylaxis
50,near_dup,32,168,0.003705641120455578,0,2898,0.7075,Pericarditis,D,D,True,True,0.323479684189806,D
50,near_dup_comp_close,32,168,0.003705641120455578,168,2898,0.7075,Pericarditis,D,D,True,True,0.009701764549829153,D) Pericarditis
50,near_dup_rand_close,32,168,0.003705641120455578,168,2898,0.7075,Pericarditis,D,D,True,True,0.10205462627281545,D) Pericarditis
50,random,32,168,0.003705641120455578,0,2938,0.7173,Pericarditis,D,D,True,True,0.03424297027135026,D
51,near_dup,32,115,0.005312519948878649,0,3663,0.8943,HIV (initial infection),C,C,True,True,0.22224358438688796,C
51,near_dup_comp_close,32,115,0.005312519948878649,115,3663,0.8943,HIV (initial infection),C,C,True,True,0.07628210567236238,C) HIV (initial infection)
51,near_dup_rand_close,32,115,0.005312519948878649,115,3663,0.8943,HIV (initial infection),C,C,True,True,0.3114408227029344,C
51,random,32,115,0.005312519948878649,0,3024,0.7383,HIV (initial infection),C,C,True,True,0.0004633738705592805,C
52,near_dup,32,114,0.0033398883378378107,0,2368,0.5781,PSVT,E,C,False,True,0.37223292887210846,C
52,near_dup_comp_close,32,114,0.0033398883378378107,114,2368,0.5781,PSVT,E,C,False,True,0.2125804861902257,C) Atrial fibrillation
52,near_dup_rand_close,32,114,0.0033398883378378107,114,2368,0.5781,PSVT,E,C,False,True,0.42800474166870117,C
52,random,32,114,0.0033398883378378107,0,3048,0.7441,PSVT,E,E,True,True,0.2391767187306857,"E) PSVT (Paroxysmal Supraventricular Tachycardia)

Given the symptoms of d the head pain, shortness of"
53,near_dup,28,151,0.0036367883322256968,0,2273,0.5549,Bronchospasm / acute asthma exacerbation,C,C,True,True,0.14050592355881264,C
53,near_dup_comp_close,28,151,0.0036367883322256968,151,2273,0.5549,Bronchospasm / acute asthma exacerbation,C,C,True,True,0.06585424922934635,C) Bronchospasm / acute asthma exacerbation
53,near_dup_rand_close,28,151,0.0036367883322256968,151,2273,0.5549,Bronchospasm / acute asthma exacerbation,C,C,True,True,0.0570625865218517,C) Bronchospasm / acute asthma exacerbation
53,random,28,151,0.0036367883322256968,0,2630,0.6421,Bronchospasm / acute asthma exacerbation,C,C,True,True,0.328270043798085,C
54,near_dup,32,88,0.0027504876276856043,0,2777,0.678,Chronic rhinosinusitis,A,A,True,True,0.14346384477175889,A) Chronic rhinosinusitis
54,near_dup_comp_close,32,88,0.0027504876276856043,88,2777,0.678,Chronic rhinosinusitis,A,A,True,True,0.003113979646855114,A) Chronic rhinosinusitis
54,near_dup_rand_close,32,88,0.0027504876276856043,88,2777,0.678,Chronic rhinosinusitis,A,E,False,True,0.24269136747388984,E) Anemia
54,random,32,88,0.0027504876276856043,0,3074,0.7505,Chronic rhinosinusitis,A,A,True,True,0.05702514819934379,A) Chronic rhinosinusitis
55,near_dup,32,107,0.003189995694314892,0,2950,0.7202,URTI,D,D,True,True,0.3377944599142211,D
55,near_dup_comp_close,32,107,0.003189995694314892,107,2950,0.7202,URTI,D,A,False,True,0.04545560725248126,A) Acute rhinosinusitis
55,near_dup_rand_close,32,107,0.003189995694314892,107,2950,0.7202,URTI,D,D,True,True,0.1761445634804204,D) URTI
55,random,32,107,0.003189995694314892,0,2572,0.6279,URTI,D,A,False,True,0.051324823707293236,A) Acute rhinosinusitis
56,near_dup,32,178,0.004202388813177771,0,3151,0.7693,Pericarditis,C,C,True,True,0.08036934994743206,C
56,near_dup_comp_close,32,178,0.004202388813177771,178,3151,0.7693,Pericarditis,C,C,True,True,0.08691095738306233,C) Pericarditis
