dataset,condition,layer,strength,signed_strength,n_prompts,reused,source_path
explicit_test,steer_long_term,18,2.0,2.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,18,2.0,-2.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,18,4.0,4.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,18,4.0,-4.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,18,8.0,8.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,18,8.0,-8.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,18,16.0,16.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,18,16.0,-16.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,18,32.0,32.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,18,32.0,-32.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,22,2.0,2.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,22,2.0,-2.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,22,4.0,4.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,22,4.0,-4.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,22,8.0,8.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,22,8.0,-8.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,22,16.0,16.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,22,16.0,-16.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,22,32.0,32.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,22,32.0,-32.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,26,2.0,2.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,26,2.0,-2.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,26,4.0,4.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,26,4.0,-4.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,26,8.0,8.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,26,8.0,-8.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,26,16.0,16.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,26,16.0,-16.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_long_term,26,32.0,32.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
explicit_test,steer_immediate,26,32.0,-32.0,100,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
implicit_full,baseline,-1,0.0,0.0,300,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
implicit_full,steer_long_term,10,2.0,2.0,300,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
implicit_full,steer_immediate,10,2.0,-2.0,300,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
implicit_full,steer_long_term,10,4.0,4.0,300,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
implicit_full,steer_immediate,10,4.0,-4.0,300,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
implicit_full,steer_long_term,10,8.0,8.0,300,True,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv
implicit_full,steer_immediate,10,8.0,-8.0,300,False,
implicit_full,steer_long_term,10,16.0,16.0,300,False,
implicit_full,steer_immediate,10,16.0,-16.0,300,False,
implicit_full,steer_long_term,10,32.0,32.0,300,False,
implicit_full,steer_immediate,10,32.0,-32.0,300,False,
implicit_full,steer_long_term,14,2.0,2.0,300,False,
implicit_full,steer_immediate,14,2.0,-2.0,300,False,
implicit_full,steer_long_term,14,4.0,4.0,300,False,
implicit_full,steer_immediate,14,4.0,-4.0,300,False,
implicit_full,steer_long_term,14,8.0,8.0,300,False,
implicit_full,steer_immediate,14,8.0,-8.0,300,False,
implicit_full,steer_long_term,14,16.0,16.0,300,False,
implicit_full,steer_immediate,14,16.0,-16.0,300,False,
implicit_full,steer_long_term,14,32.0,32.0,300,False,
implicit_full,steer_immediate,14,32.0,-32.0,300,False,
implicit_full,steer_long_term,18,2.0,2.0,300,False,
implicit_full,steer_immediate,18,2.0,-2.0,300,False,
implicit_full,steer_long_term,18,4.0,4.0,300,False,
implicit_full,steer_immediate,18,4.0,-4.0,300,False,
implicit_full,steer_long_term,18,8.0,8.0,300,False,
implicit_full,steer_immediate,18,8.0,-8.0,300,False,
implicit_full,steer_long_term,18,16.0,16.0,300,False,
implicit_full,steer_immediate,18,16.0,-16.0,300,False,
implicit_full,steer_long_term,18,32.0,32.0,300,False,
implicit_full,steer_immediate,18,32.0,-32.0,300,False,
implicit_full,steer_long_term,22,2.0,2.0,300,False,
implicit_full,steer_immediate,22,2.0,-2.0,300,False,
implicit_full,steer_long_term,22,4.0,4.0,300,False,
implicit_full,steer_immediate,22,4.0,-4.0,300,False,
implicit_full,steer_long_term,22,8.0,8.0,300,False,
implicit_full,steer_immediate,22,8.0,-8.0,300,False,
implicit_full,steer_long_term,22,16.0,16.0,300,False,
implicit_full,steer_immediate,22,16.0,-16.0,300,False,
implicit_full,steer_long_term,22,32.0,32.0,300,False,
implicit_full,steer_immediate,22,32.0,-32.0,300,False,
implicit_full,steer_long_term,26,2.0,2.0,300,False,
implicit_full,steer_immediate,26,2.0,-2.0,300,False,
implicit_full,steer_long_term,26,4.0,4.0,300,False,
implicit_full,steer_immediate,26,4.0,-4.0,300,False,
implicit_full,steer_long_term,26,8.0,8.0,300,False,
implicit_full,steer_immediate,26,8.0,-8.0,300,False,
implicit_full,steer_long_term,26,16.0,16.0,300,False,
implicit_full,steer_immediate,26,16.0,-16.0,300,False,
implicit_full,steer_long_term,26,32.0,32.0,300,False,
implicit_full,steer_immediate,26,32.0,-32.0,300,False,
